YR,ST,FIPS5,REASON,N
2015,NC,37139,2,1
2017,SC,45005,2,1
2015,TX,48247,4,1
2016,AR,05133,9,1
2015,MO,29033,6,1
2016,MN,27105,5,1
2016,TN,47033,5,1
2016,MS,28017,5,1
2015,AR,05149,9,1
2015,TX,48075,7,1
2016,AR,05063,9,1
2015,LA,22083,6,1
2016,GA,13119,2,1
2017,TX,48421,1,2
2015,MS,28103,2,1
2016,TN,47181,6,1
2017,LA,22113,5,2
2016,MS,28069,1,2
2017,MO,29069,5,1
2015,TX,48129,1,1
2016,AR,05013,6,1
2015,SC,45025,6,1
2016,WV,54087,6,1
2017,TN,47023,5,1
2017,AR,05099,9,1
2016,TX,48151,4,1
2015,TX,48043,5,1
2017,MN,27011,2,1
2016,LA,22075,2,1
2016,NC,37067,5,40
2016,TX,48029,3,3097
2015,TX,48061,none,619
2015,MO,29019,none,400
2015,TX,48201,6,782
2017,FL,12031,1,1297
2016,TX,48113,1,2278
2017,MN,27123,none,557
2016,NC,37179,none,1127
2017,GA,13135,1,1476
2016,TX,48439,none,7159
2017,FL,12091,none,719
2016,FL,12086,1,3620
2017,FL,12099,1,2370
2016,VA,51047,none,218
2016,FL,12005,4,244
2017,TX,48199,none,377
2016,TN,47165,3,292
2015,FL,12103,1,1259
2016,VA,51107,9,250
2017,TX,48121,3,745
2016,FL,12057,1,2105
2017,TX,48029,6,405
2016,LA,22033,none,2122
2015,LA,22033,none,1401
2016,TX,48121,9,386
2016,FL,12023,3,152
2016,GA,13121,3,1401
2016,TX,48201,6,739
2017,NC,37119,1,1472
2016,TX,48201,1,4944
2015,MO,29183,none,862
2016,FL,12105,none,3211
2017,MN,27053,none,1164
2015,MO,29097,none,344
2017,FL,12057,none,3472
2015,FL,12081,1,574
2015,FL,12099,1,2426
2017,FL,12109,1,475
2016,NC,37071,none,909
2016,TX,48135,4,67
2016,GA,13297,none,458
2015,NC,37081,4,422
2017,FL,12099,4,1193
2016,NC,37135,7,79
2016,FL,12031,3,1659
2016,TX,48355,none,1173
2016,FL,12127,4,498
2016,TX,48121,3,876
2016,GA,13121,9,489
2015,VA,51800,none,289
2017,VA,51107,none,456
2016,TX,48091,none,700
2015,TX,48039,none,1195
2017,NC,37055,1,111
2015,LA,22063,none,640
2017,FL,12101,9,334
2015,AR,05131,none,489
2017,VA,51041,1,478
2017,AR,05145,none,481
2015,MN,27123,4,460
