FIPS5,ST,DN,DECL,ITYPE,REGS
48097,TX,4223,2015-05-29,W,295
48423,TX,4223,2015-05-29,W,120
45089,SC,4241,2015-10-05,F,6414
29071,MO,4250,2016-01-21,F,412
29077,MO,4250,2016-01-21,F,737
05007,AR,4318,2017-06-15,W,271
48185,TX,4332,2017-08-25,H,467
78020,VI,4335,2017-09-07,H,2643
72049,PR,4336,2017-09-10,H,241
12009,FL,4337,2017-09-10,H,71969
72065,PR,4339,2017-09-20,H,11825
72013,PR,4339,2017-09-20,H,32967
72073,PR,4339,2017-09-20,H,5624
29161,MO,4317,2017-06-02,F,52
45055,SC,4241,2015-10-05,F,1993
22081,LA,4263,2016-03-13,F,88
05105,AR,4254,2016-02-05,W,69
29055,MO,4250,2016-01-21,F,23
12083,FL,4341,2017-09-27,H,2
12105,FL,4341,2017-09-27,H,15
40027,OK,4222,2015-05-26,W,2569
48039,TX,4245,2015-11-25,W,138
22005,LA,4263,2016-03-13,F,322
37165,NC,4285,2016-10-10,H,613
45029,SC,4286,2016-10-11,H,1370
45031,SC,4286,2016-10-11,H,2022
51710,VA,4291,2016-11-02,H,758
12111,FL,4337,2017-09-10,H,37074
72031,PR,4339,2017-09-20,H,54340
72027,PR,4339,2017-09-20,H,11050
37037,NC,4285,2016-10-10,H,32
22063,LA,4300,2017-02-11,T,64
05081,AR,4254,2016-02-05,W,27
12103,FL,4341,2017-09-27,H,8
12027,FL,4341,2017-09-27,H,1
40017,OK,4222,2015-05-26,W,129
48215,TX,4223,2015-05-29,W,4980
22019,LA,4263,2016-03-13,F,819
54025,WV,4273,2016-06-25,F,2986
54019,WV,4273,2016-06-25,F,445
28041,MS,4268,2016-03-25,F,122
37139,NC,4285,2016-10-10,H,534
12015,FL,4337,2017-09-10,H,16386
72051,PR,4339,2017-09-20,H,11558
29065,MO,4317,2017-06-02,F,14
13183,GA,4284,2016-10-08,H,372
45019,SC,4286,2016-10-11,H,3404
12097,FL,4337,2017-09-10,H,41228
48133,TX,4223,2015-05-29,W,52
05051,AR,4226,2015-06-26,W,57
48453,TX,4245,2015-11-25,W,1058
22035,LA,4263,2016-03-13,F,574
37141,NC,4285,2016-10-10,H,1088
48157,TX,4332,2017-08-25,H,65648
48241,TX,4332,2017-08-25,H,4854
72021,PR,4339,2017-09-20,H,66608
12057,FL,4280,2016-09-28,H,248
29186,MO,4250,2016-01-21,F,24
40001,OK,4222,2015-05-26,W,61
48005,TX,4223,2015-05-29,W,261
46000,SD,4237,2015-08-07,W,224
22027,LA,4263,2016-03-13,F,452
13191,GA,4284,2016-10-08,H,684
72053,PR,4336,2017-09-10,H,830
12069,FL,4337,2017-09-10,H,43341
72061,PR,4339,2017-09-20,H,29013
29169,MO,4250,2016-01-21,F,81
37131,NC,4285,2016-10-10,H,287
12127,FL,4338,2017-09-15,H,1
12071,FL,4341,2017-09-27,H,6
40087,OK,4222,2015-05-26,W,279
40095,OK,4222,2015-05-26,W,239
48021,TX,4223,2015-05-29,W,551
45029,SC,4241,2015-10-05,F,2129
22013,LA,4263,2016-03-13,F,457
22065,LA,4263,2016-03-13,F,224
48419,TX,4266,2016-03-19,F,82
37195,NC,4285,2016-10-10,H,815
37015,NC,4285,2016-10-10,H,1170
29099,MO,4317,2017-06-02,F,463
05119,AR,4318,2017-06-15,W,373
12053,FL,4337,2017-09-10,H,17040
29209,MO,4250,2016-01-21,F,41
29123,MO,4317,2017-06-02,F,64
12103,FL,4280,2016-09-28,H,662
12117,FL,4341,2017-09-27,H,9
48291,TX,4245,2015-11-25,W,583
48209,TX,4245,2015-11-25,W,944
22063,LA,4263,2016-03-13,F,999
48157,TX,4269,2016-04-25,F,751
12107,FL,4283,2016-10-08,H,1996
29179,MO,4317,2017-06-02,F,94
05045,AR,4318,2017-06-15,W,206
12019,FL,4337,2017-09-10,H,17619
12081,FL,4337,2017-09-10,H,34712
12119,FL,4337,2017-09-10,H,7974
12041,FL,4337,2017-09-10,H,1744
72089,PR,4339,2017-09-20,H,6136
48457,TX,4272,2016-06-11,F,136
45013,SC,4285,2016-10-10,H,1
37051,NC,4286,2016-10-11,H,1
48031,TX,4223,2015-05-29,W,173
28133,MS,4268,2016-03-25,F,185
45075,SC,4286,2016-10-11,H,2197
29169,MO,4317,2017-06-02,F,107
72063,PR,4339,2017-09-20,H,14010
72083,PR,4339,2017-09-20,H,3288
72141,PR,4339,2017-09-20,H,11389
29109,MO,4250,2016-01-21,F,67
48149,TX,4272,2016-06-11,F,40
48469,TX,4332,2017-08-25,H,22009
12097,FL,4341,2017-09-27,H,5
40137,OK,4222,2015-05-26,W,74
48339,TX,4223,2015-05-29,W,232
21043,KY,4239,2015-08-12,W,355
48351,TX,4266,2016-03-19,F,1642
48215,TX,4272,2016-06-11,F,1228
13095,GA,4294,2017-01-25,W,3212
12047,FL,4337,2017-09-10,H,677
72049,PR,4339,2017-09-20,H,639
29189,MO,4317,2017-06-02,F,490
72123,PR,4339,2017-09-20,H,11363
29097,MO,4250,2016-01-21,F,77
