schema,table,column,ruling,reason,n_nonempty,pct_double,pct_date
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,CONTRACTING_OFFICERS_DETERMINATION_OF_BUSINESS_SIZE,keep_text,low_cast,19999520,0.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PARTNERSHIP_OR_LIMITED_LIABILITY_PARTNERSHIP,keep_text,low_cast,20000000,0.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PURCHASE_CARD_AS_PAYMENT_METHOD,keep_text,low_cast,19085113,0.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,USASPENDING_PERMALINK,keep_text,low_cast,19999994,0.000,0.000
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,TREASURY_ACCOUNT_SYMBOL,keep_text,empty,0,,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_ENTITYEXPIRATIONDATE,keep_text,empty,0,,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_ENTITYEXPIRATIONREASON,keep_text,empty,0,,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_OTHERREGISTRATIONAUTHORITYID,keep_text,low_cast,7053,0.001,0.001
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_REGISTRATIONAUTHORITYENTITYID,keep_text,partial_cast,3089988,0.502,0.502
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_REGISTRATIONAUTHORITYID,keep_text,low_cast,3382301,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_INITIALREGISTRATIONDATE,cast_date,clean,3382301,0.000,1.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_LASTUPDATEDATE,cast_date,clean,3382301,0.000,1.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_MANAGINGLOU,keep_text,id_smell,3382301,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_NEXTRENEWALDATE,cast_date,clean,3382301,0.000,1.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_OTHERVALIDATIONAUTHORITYID,keep_text,low_cast,64,0.016,0.016
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_VALIDATIONAUTHORITYENTITYID,keep_text,low_cast,286576,0.049,0.049
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_VALIDATIONAUTHORITYID,keep_text,low_cast,287295,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_OTHERVALIDATIONAUTHORITYID,keep_text,low_cast,4,0.000,0.000
