id_system,n_tables,n_columns,domains,sample_columns,sample_tables
ICIS / ECHO / AFS / AIRS program IDs,19,25,ENVIRONMENT:15;FINANCE:3;HOUSING:1,HABITABILITY_REPAIRS_REQUIRED;ICIS_FACILITY_INTEREST_ID;PGM_SYS_ACNRM;PGM_SYS_ACRNM;PGM_SYS_ID,ENVIRONMENT.ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS;ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_NAICS_CODES;ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS;ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_SIC_CODES;ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES
Superfund / SEMS site ID,1,1,ENVIRONMENT:1,NPL_STATUS_CODE,ENVIRONMENT.ENVIRONMENT__FED_EPA_SUPERFUND_SITE_BOUNDARIES
GHGRP facility ID,0,0,,,
EPA pesticide reg # / PC code,11,11,ENVIRONMENT:9;FINANCE:1;REFERENCE:1,EPA_REGION;EPA_REGION_CODE;EPA_REGISTRY_ID;FAC_EPA_REGION,ENVIRONMENT.ENVIRONMENT__EPA_PENALTY_GAP;ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO;ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FACILITIES;ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES;ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES
EIA plant / utility / ORIS,12,32,ENERGY:10;ENVIRONMENT:1;IMMIGRATION:1,DIRECT_SUPPORT_PLANT_ID_1;DIRECT_SUPPORT_PLANT_ID_2;DIRECT_SUPPORT_PLANT_ID_3;DOE_EIA_ORIS_PLANT_OR_FACILITY_CODE;GENERATOR_ID;KNOWN_TERRORIST_YES_NO,ENERGY.ENERGY__FED_EIA860_1_UTILITY;ENERGY.ENERGY__FED_EIA860_2_PLANT;ENERGY.ENERGY__FED_EIA860_3_1_GENERATOR;ENERGY.ENERGY__FED_EIA860_3_2_WIND;ENERGY.ENERGY__FED_EIA860_3_3_SOLAR
FERC CID / docket,3,8,ENERGY:2;HEALTH:1,FERC_COGENERATION_DOCKET_NUMBER;FERC_COGENERATION_STATUS;FERC_EXEMPT_WHOLESALE_GENERATOR_DOCKET_NUMBER;FERC_EXEMPT_WHOLESALE_GENERATOR_STATUS;FERC_SMALL_POWER_PRODUCER_DOCKET_NUMBER;FERC_SMALL_POWER_PRODUCER_STATUS,ENERGY.ENERGY__FED_EIA860_2_PLANT;ENERGY.ENERGY__FED_EIA860_3_1_GENERATOR;HEALTH.HEALTH__FED_FDA_UNII_GSRS_SUBSTANCES
NRC docket / license,1,1,ENVIRONMENT:1,NRC_REPORT_NUMBER,ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS
PHMSA operator ID (OPID),4,4,LABOR:2;ENVIRONMENT:1;HEALTH:1,CURRENT_OPERATOR_ID;OPERATOR_ID;PHMSA_OPERATOR_ID,ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS;HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES;LABOR.LABOR__FED_MSHA_ACCIDENTS;LABOR.LABOR__FED_MSHA_MINES
Well API #,10,10,HEALTH:5;ENVIRONMENT:3;SCIENCE:1;SCIENCE_RESEARCH:1,API_NAME;API_NUMBER;API_URL;BENE_RACE_API_CNT,ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST;ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_REGISTRY;ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_WATER_SOURCE;HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER;HEALTH.HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER
BLM / ONRR lease / case serial,3,3,TRANSPORT:2;JUSTICE:1,SERIAL_NUMBER,JUSTICE.JUSTICE__INTL_EU_SOCTA_EUROPOL;TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY;TRANSPORT.TRANSPORT__FED_FAA_REGISTRY
USDOT # / MC # (FMCSA),0,0,,,
VIN,1,1,CONSUMER_SAFETY:1,VIN,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS
NHTSA recall / campaign / ODI,4,4,CONSUMER_SAFETY:1;EDUCATION:1;JUSTICE:1;LEGAL_ENFORCEMENT:1,AD_CAMPAIGNS_LIST;ENFORCEMENTCAMPAIGN;KNOWN_RANSOMWARE_CAMPAIGN_USE;NHTSA_ACTION_NUMBER,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS;EDUCATION.EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS;JUSTICE.JUSTICE__FED_CISA_KEV;LEGAL_ENFORCEMENT.LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS
FAA N-number / registrant,48,57,FINANCE:14;HEALTH:13;ECONOMICS:7;TRANSPORT:4;JUSTICE:2,ACCESSIONNUMBER;ACCESSION_NUMBER;APPLICATION_NUMBER_LIST;BHCMIS_ORGANIZATION_IDENTIFICATION_NUMBER;BUSINESS_REGISTRATION_NUMBERS;CMS_CERTIFICATION_NUMBER_CCN,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS;CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC;ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS;ECONOMICS.ECONOMICS__FED_IRS_BMF;ECONOMICS.ECONOMICS__FED_SBA_PPP
NTSB event ID,3,9,TRANSPORT:3,EV_ID;NTSB_DOCKET;NTSB_NO;NTSB_NOTF_DATE;NTSB_NOTF_FROM;NTSB_NOTF_TM,TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT;TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_EVENTS;TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_INJURY
Airport code (LOCID/ICAO/IATA),4,4,TRANSPORT:2;ECONOMICS:1;PROCUREMENT:1,AIRPORT_AUTHORITY;AIRPORT_ID;REPORT_TO_ICAO,ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK;TRANSPORT.TRANSPORT__FED_FAA_DATA_PORTAL;TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT
DOT carrier / airline ID,0,0,,,
IMO / MMSI / vessel #,5,9,JUSTICE:3;MARITIME:1;POLITICS:1,CALL_SIGN;IMO_NORMALIZED;IMO_NUMBER;MMSI,JUSTICE.JUSTICE__FED_CONSOLIDATED_SCREENING_LIST;JUSTICE.JUSTICE__FED_OFAC_SDN;JUSTICE.JUSTICE__XC_UK_SANCTIONS_LIST;MARITIME.MARITIME__FED_NOAA_AIS;POLITICS.POLITICS__FED_FCC_LICENSING
FCC FRN / ULS / call sign,1,2,POLITICS:1,FRN;ULS_FILE_NUMBER,POLITICS.POLITICS__FED_FCC_LICENSING
OFAC SDN entity #,9,16,HEALTH:3;TRANSPORT:3;JUSTICE:2;REGULATORY:1,ACCIDENT_NUMBER;DOCUMENT_NUMBER;ENTITY_NUMBER;ENT_NUM;INCIDENT_NUMBER;INTERCHANGEABLE_SUPPLEMENT_NUMBER,HEALTH.HEALTH__FED_FDA_DEVICE_PMA;HEALTH.HEALTH__FED_FDA_PURPLE_BOOK;HEALTH.HEALTH__FED_HRSA_NPDB;JUSTICE.JUSTICE__FED_CONSOLIDATED_SCREENING_LIST;JUSTICE.JUSTICE__FED_OFAC_SDN
BIS denied / entity list,2,4,FINANCE:1;JUSTICE:1,CONFDENIEDEXPIRED;DATEDENIEDEXPIRED;DATE_CERT_DENIED;DATE_REARGUMENT_DENIED,FINANCE.FINANCE__FED_SEC_13F_FILERS;JUSTICE.JUSTICE__FED_COURTLISTENER_DOCKETS
ICIJ node ID,7,8,CORPORATE_REGISTRY:6;GOVERNMENT_RECORDS:1,NODE_ID;NODE_ID_END;NODE_ID_START,CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES;CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES;CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES;CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS;CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS
UK Companies House #,2,2,CORPORATE_REGISTRY:2,COMPANY_NUMBER,CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE;CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC
Foreign registry # (SIREN/KVK/ABN/OpenCorp),0,0,,,
IRS 990 object ID / DLN,3,4,ECONOMICS:1;ENVIRONMENT:1;HISTORY:1,DLN;OBJECT_ID,ECONOMICS.ECONOMICS__FED_IRS_990_EFILE_INDEX;ENVIRONMENT.ENVIRONMENT__FED_USGS_WBD_HUC8;HISTORY.HISTORY__FED_DENSHO_DDR
FIPS / GEOID,77,123,HEALTH:19;ENVIRONMENT:11;ECONOMICS:5;HOUSING:5;JUSTICE:5,AREA_FIPS;BRANCH_COUNTY_FIPS;BRANCH_STATE_COUNTY_FIPS;BRANCH_STATE_FIPS;CENSUS_GEOID;COMMON_STATE_COUNTY_FIPS_CODE,CIVIL_RIGHTS.CIVIL_RIGHTS__FED_NARA_WRA_AAD;CORE.DIM_COUNTY;CORE.DIM_STATE;CORE.DIM_TRACT;CORE.XWALK_ZCTA_COUNTY
Census tract / block / CBSA / ZCTA,34,140,HOUSING:7;SCIENCE_RESEARCH:5;ENVIRONMENT:3;JUSTICE:3;CORE:2,ABSTRACT;ABSTRACT_CUMULATIVE;ABSTRACT_TEXT;ABSTRACT_VIEWS;BLOCK_GROUP;BLOCK_GROUP_LEVEL_KEY,CORE.DIM_TRACT;CORE.XWALK_ZCTA_COUNTY;CRIMINAL_JUSTICE.CRIMINAL_JUSTICE__FED_BJS_DATA;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL
ZIP,172,234,HEALTH:49;FINANCE:31;ENVIRONMENT:19;POLITICS:14;ECONOMICS:13,ADDRESS_POSTAL_CODE;ADDR_ZIPCODE;ADMIN_US_ZIP;AGENT_ATTORNEY_POSTAL_CODE;AUDITEE_ZIP;AUDITOR_ZIP,CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS;CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_IRS_EO_BMF;CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC;ECONOMICS.ECONOMICS__FED_DOL_FORM5500;ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT
Congressional district,36,185,HEALTH:10;ECONOMICS:9;POLITICS:4;ENVIRONMENT:3;LABOR:3,ACRDTN_TYPE_CD;ACUTE_RESP_CARE_CD;ACUTE_RNL_DLYS_SRVC_CD;ADMIN_FOREIGN_POSTAL_CD;AGENCY_CD;ALCHL_DRUG_SRVC_CD,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_RECALLS;ECONOMICS.ECONOMICS__FED_DOL_FORM5500;ECONOMICS.ECONOMICS__FED_IRS_EO_PR;ECONOMICS.ECONOMICS__FED_IRS_SOI_CHARITIES;ECONOMICS.ECONOMICS__FED_SBA_LOANS
NCES / IPEDS / OPE school ID,14,21,JUSTICE:4;EDUCATION:3;HEALTH:2;CONSUMER_SAFETY:1;GOVERNMENT_RECORDS:1,ALLOWANCES_FOR_UNCOLLECTIBLE_RECEIVABLES;ANCESTORS;CFR_REFERENCES;CLEARANCES;CROSS_REFERENCES;HIGH_RCL_OUNCES_APP,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS;EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION;EDUCATION.EDUCATION__FED_ED_EDFACTS;EDUCATION.EDUCATION__FED_ED_NCES_CIP_CODES;GOVERNMENT_RECORDS.GOVERNMENT_RECORDS__FED_USASPENDING_TAS_FILTER_TREE
USGS site / GNIS / HUC,3,5,ENVIRONMENT:3,HUC8;HUC_CD;HUC_EIGHT_DIGIT_CODE;REFERENCE_GNIS_IDS;SITE_NO,ENVIRONMENT.ENVIRONMENT__FED_USGS_WATER;ENVIRONMENT.ENVIRONMENT__FED_USGS_WBD_HUC8;ENVIRONMENT.ENVIRONMENT__FED_WQP_MONITORING_STATIONS
NOAA station (WBAN/GHCN/WMO),0,0,,,
FEMA disaster #,2,4,HOUSING:1;JUSTICE:1,DECLARATION_DATE;DECLARATION_UNCONSTITUTIONAL;DISASTER_NUMBER;IS_UNCONSTITUTIONAL_DECLARATION,HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS;JUSTICE.JUSTICE__FED_SCDB
NFIP policy / claim ID,1,1,HOUSING:1,PARTICIPATING_IN_NFIP_FLAG,HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK
HUD PHA code / LIHTC project,2,2,HOUSING:2,LIHTC;PARTICIPANT_CODE,HOUSING.HOUSING__FED_HUD_MF_FIRM_COMMITMENTS;HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES
SBA loan # (PPP/EIDL),2,5,ECONOMICS:1;HEALTH:1,C_95_C_I_LOWER_LIMIT_FOR_PPPW;C_95_C_I_UPPER_LIMIT_FOR_PPPW;LOAN_NUMBER;NUMBER_OF_PATIENTS_FOR_PPPW;PPPW_CATEGORY_TEXT,ECONOMICS.ECONOMICS__FED_SBA_PPP;HEALTH.HEALTH__FED_CMS_DIALYSIS
HCRIS report record #,1,1,HEALTH:1,RPT_REC_NUM,HEALTH.HEALTH__FED_CMS_HCRIS
Open Payments profile / record ID,5,22,HEALTH:4;SCIENCE_RESEARCH:1,ASSOCIATED_PROFILE_ID_1;ASSOCIATED_PROFILE_ID_2;COVERED_RECIPIENT_FIRST_NAME;COVERED_RECIPIENT_LAST_NAME;COVERED_RECIPIENT_PRIMARY_TYPE_1;COVERED_RECIPIENT_PROFILE_ID,HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS;HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022;HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023;HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT;SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER
Patent / application #,1,1,HEALTH:1,PATENT_LIST_PROVIDED,HEALTH.HEALTH__FED_FDA_PURPLE_BOOK
Trademark serial / reg #,1,1,TRANSPORT:1,ACFT_SERIAL_NO,TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT
Federal Register doc # / RIN,0,0,,,
DoD DoDAAC / NSN,0,0,,,
VA station #,0,0,,,
OPM agency subelement,0,0,,,
Sex offender registry ID,0,0,,,
ORI (law-enforcement agency),1,1,JUSTICE:1,ORI_AGENCY_IDENTIFIER_IF_AVAILABLE,JUSTICE.JUSTICE__XC_MAPPING_POLICE_VIOLENCE
NCIC / incident #,2,4,TRANSPORT:2,INCIDENT_NUMBER;MAINTAINANCE_INCIDENT_NUMBER;OTHER_INCIDENT_NUMBER,TRANSPORT.TRANSPORT__FED_FRA_CASUALTIES;TRANSPORT.TRANSPORT__FED_FRA_CROSSING_INCIDENTS
CVE / breach ID,2,2,CORPORATE_REGISTRY:1;JUSTICE:1,CVE;CVE_ID,CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_ES_BORME;JUSTICE.JUSTICE__FED_CISA_KEV
SWIFT BIC,0,0,,,
