schema,mart_table,column,raw_table,old_verdict,verdict,mart_rows,raw_rows,mart_non_blank,raw_non_blank,raw_top_values
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,CATEGORY_OF_FUNDING_ACTIVITY,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,ELIGIBLE_APPLICANTS,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,AWARD_CEILING,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,AWARD_FLOOR,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,ESTIMATED_TOTAL_PROGRAM_FUNDING,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,EXPECTED_NUMBER_OF_AWARDS,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,LAST_UPDATED_DATE,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,ARCHIVE_DATE,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,SYNOPSIS_DESC,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,GRANTOR_CONTACT_EMAIL,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,GRANTOR_CONTACT_NAME,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,VERSION,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_PBGC_DATA,PUBLICATION_DATE,LIBRARY_RAW.LANDING.FED_PBGC_DATA,raw_also_empty,raw_also_empty,134534,140454,0,0,
ECONOMICS,ECONOMICS__FED_PBGC_DATA,PROGRAM_TYPE,LIBRARY_RAW.LANDING.FED_PBGC_DATA,raw_also_empty,raw_also_empty,134534,140454,0,0,
ECONOMICS,ECONOMICS__FED_PBGC_DATA,UNIT,LIBRARY_RAW.LANDING.FED_PBGC_DATA,raw_also_empty,raw_also_empty,134534,140454,0,0,
ECONOMICS,ECONOMICS__FED_PBGC_DATA,NOTES_FLAG,LIBRARY_RAW.LANDING.FED_PBGC_DATA,raw_also_empty,raw_also_empty,134534,140454,0,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,RECORD_FISCAL_YR,LIBRARY_RAW.LANDING.FED_TREASURY_DEBT_TO_PENNY,raw_also_empty,raw_also_empty,8329,8329,0,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,RECORD_FISCAL_QTR,LIBRARY_RAW.LANDING.FED_TREASURY_DEBT_TO_PENNY,raw_also_empty,raw_also_empty,8329,8329,0,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,RECORD_CALENDAR_YR,LIBRARY_RAW.LANDING.FED_TREASURY_DEBT_TO_PENNY,raw_also_empty,raw_also_empty,8329,8329,0,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,RECORD_CALENDAR_QTR,LIBRARY_RAW.LANDING.FED_TREASURY_DEBT_TO_PENNY,raw_also_empty,raw_also_empty,8329,8329,0,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_DUNS,LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS,raw_also_empty,raw_also_empty,6325622,6325622,0,0,
ECONOMICS,ECONOMICS__FED_US_SEC_EDGAR,ISIN,LIBRARY_RAW.LANDING.FED_US_SEC_EDGAR,raw_also_empty,raw_also_empty,48984,48990,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,GENERATED_UNIQUE_AWARD_ID,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,RECIPIENT_UEI,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,RECIPIENT_DUNS,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,RECIPIENT_EIN,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,NAICS_CODE,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,TREASURY_ACCOUNT_SYMBOL,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,FEDERAL_ACCOUNT_CODE,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,PLACE_OF_PERFORMANCE_FIPS,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,RECIPIENT_LOCATION_FIPS,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,NAICS_DESCRIPTION,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,CFDA_TITLE,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,DEF_CODE,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,FISCAL_YEAR,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,PLACE_OF_PERFORMANCE_CITY,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,RECIPIENT_LOCATION_STATE,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,TOTAL_OBLIGATION,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,TOTAL_OUTLAY,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,TRANSACTION_COUNT,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,SUBAWARD_COUNT,LIBRARY_RAW.LANDING.FED_US_USASPENDING_API,raw_also_empty,raw_also_empty,300,300,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_PERIOD_4_STARTDATE,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_PERIOD_4_ENDDATE,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_PERIOD_4_PERIODTYPE,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_PERIOD_5_STARTDATE,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_PERIOD_5_ENDDATE,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_PERIOD_5_PERIODTYPE,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUALIFIERS_3_QUALIFIERDIMENSION,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
