===== q09 (stmt 9) 131 rows
K | A | B | C | D | E | F | G1 | H | I | J
kid | 253400RQYN91FHYPRS96 | "Кредит Урал Банк" (Акционерное общество) | RU | ISSUED | 2026-05-18 12:16:18.480 +0300 | 2027-05-18 12:15:33.137 +0300 | 253400M18U5TB02TW421 | 253400WSS48YWMBUA688 | "Газпромбанк" (Акционерное общество) [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 253400RQYN91FHYPRS96 | "Кредит Урал Банк" (Акционерное общество) | RU | ISSUED | 2026-05-18 12:16:18.480 +0300 | 2027-05-18 12:15:33.137 +0300 | 253400M18U5TB02TW421 | 253400WSS48YWMBUA688 | "Газпромбанк" (Акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 253400MD780G2CR8BM30 | Акционерное общество "ААА Управление Капиталом" | RU | ISSUED | 2026-05-25 15:10:11.890 +0300 | 2027-05-25 15:09:20.210 +0300 | 253400M18U5TB02TW421 | 253400WSS48YWMBUA688 | "Газпромбанк" (Акционерное общество) [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 253400MD780G2CR8BM30 | Акционерное общество "ААА Управление Капиталом" | RU | ISSUED | 2026-05-25 15:10:11.890 +0300 | 2027-05-25 15:09:20.210 +0300 | 253400M18U5TB02TW421 | 253400WSS48YWMBUA688 | "Газпромбанк" (Акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 253400QBWHEHQXUR4075 | Акционерное общество "Русский Стандарт Страхование" | RU | ISSUED | 2025-09-19 12:05:53.887 +0300 | 2026-09-19 12:05:13.130 +0300 | 253400M18U5TB02TW421 | 549300F4ZEG3A9JDGZ08 | Акционерное общество "Банк Русский Стандарт" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 2534004JKXBEM0T4LW33 | Акционерное общество "Система Финанс" | RU | ISSUED | 2025-12-08 13:52:34.680 +0300 | 2026-12-08 13:45:41.513 +0300 | 253400M18U5TB02TW421 | 213800JSZ2UUK4QQK694 | Публичное акционерное общество "Акционерная финансовая корпорация "Система" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 2534004JKXBEM0T4LW33 | Акционерное общество "Система Финанс" | RU | ISSUED | 2025-12-08 13:52:34.680 +0300 | 2026-12-08 13:45:41.513 +0300 | 253400M18U5TB02TW421 | 213800JSZ2UUK4QQK694 | Публичное акционерное общество "Акционерная финансовая корпорация "Система" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 253400LCNHKL0ZF8ZC14 | Акционерное общество УК "Доверительная" | RU | ISSUED | 2026-05-25 15:54:45.010 +0300 | 2027-05-25 15:53:58.917 +0300 | 253400M18U5TB02TW421 | 213800JSZ2UUK4QQK694 | Публичное акционерное общество "Акционерная финансовая корпорация "Система" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 2534005A0H3F1ETBW010 | Акционерное общество Управляющая компания "Ингосстрах - Инвестиции" | RU | ISSUED | 2026-01-20 14:33:37.280 +0300 | 2027-01-20 14:01:50.057 +0300 | 253400M18U5TB02TW421 | 253400GMWZ0DBU6G0E87 | Страховое публичное акционерное общество "Ингосстрах" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 253400D41E6VN0NCHW49 | Калужский газовый и энергетический акционерный банк "Газэнергобанк" (акционерное общество) | RU | ISSUED | 2025-11-12 13:17:54.633 +0300 | 2026-11-12 13:17:12.430 +0300 | 253400M18U5TB02TW421 | 253400WD8ULWSUGGXP64 | Акционерное общество Банк Синара [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 253400Y3HSGVT30THW52 | Общество с ограниченной ответственностью "А7-Брокер" | RU | ISSUED | 2025-12-30 11:32:31.893 +0300 | 2026-12-29 13:37:48.623 +0300 | 253400M18U5TB02TW421 | VX43JDHPWL0M8GQ0QU45 | Публичное акционерное общество "Банк ПСБ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
