n,company,domain,table,col,rows,distinct,sample
119,LAND O LAKES,justice,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,6,6,"COMMERCIAL BAG COMPANY V. LAND O'LAKES, INC. | SHARON ENGLE V. LAND O'LAKES, INC. | +PORDY V. LAND O' LAKES | LAND O LAKES V. KAPPOS | LAND O'LAKES, INC. V. DANIEL RATAJCZAK, JR. | JAMES HUGUNIN V. LAND O'LAKES, INC."
120,CHAMBER OF COMMERCE OF THE,money,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,LEGAL_NAME,3,3,COLOMBIAN AMERICAN CHAMBER OF COMMERCE OF THE CAROLINAS - CACC | BLACK CHAMBER OF COMMERCE OF THE CENTRAL VALLEY | FE FOUNDATION OF THE HISPANIC CHAMBER OF COMMERCE OF THE LEHIGH
121,PARSONS,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_SHORT,4,1,PARSONS CORPORATION
122,MAXIMUS FEDERAL,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_NAME,12,2,"MAXIMUS FEDERAL TECHNOLOGY SOLUTIONS, LLC | MAXIMUS FEDERAL SERVICES, INC."
123,NUCOR,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,5,3,"NUCOR CORP | NUCOR LLC | NUCOR, INC"
124,AARP,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,10,2,AARP | AARP  INC.
125,ABBOTT LABORATORIES,health,HEALTH__FED_FDA_MAUDE,MANUFACTURER_D_NAME,965,27,ABBOTT LABORATORIES/ / ABBOTT DIABETES CARE INC. | ST. JUDE MEDICAL / (ABBOTT) LABORATORIES | ABBOTT LABORATORIES / /THORATEC CORP | ST. JUDE / ABBOTT LABORATORIES | THORATEC CORP / ABBOTT LABORATORIES | ST JUDE MEDICAL / ABBOTT LABORATORIES
126,BRENNTAG NORTH AMERICA,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,104,1,BRENNTAG NORTH AMERICA INC
127,SCIENCE APPLICATIONS INTERNATIONAL,immigration,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,11,1,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
128,ARCTIC SLOPE REGIONAL,environment,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWS_NAME,1,1,ARCTIC SLOPE REGIONAL CORP
129,REGENTS OF THE UNIVERSITY OF CALIFORNIA,health,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,ORGANIZATION_NAME,19,1,REGENTS OF THE UNIVERSITY OF CALIFORNIA
130,MEDTRONIC,politics,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,32,3,"MEDTRONIC, INC. | MEDTRONIC INC | MEDTRONIC"
131,V SOFT CONSULTING,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2025,ESTABLISHMENT_NAME,1,1,V-SOFT CONSULTING GROUP INC
132,LOS ALAMOS NATIONAL SECURITY,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,186,1,LOS ALAMOS NATIONAL SECURITY LLC
133,BATTELLE MEMORIAL INSTITUTE,environment,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,19,5,BATTELLE MEMORIAL INSTITUTE DUBLIN OPERATIONS | BATTELLE MEMORIAL INSTITUTE BSEL FAC | BATTELLE MEMORIAL INSTITUTE BSEL FACILITY SITE | BATTELLE MEMORIAL INSTITUTE PAC NW DIV A | BATTELLE MEMORIAL INSTITUTE
134,GENERAL MOTORS,consumer,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPANY,9642,1,"GENERAL MOTORS FINANCIAL COMPANY, INC."
135,GENERAL MOTORS,money,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,293,16,GENERAL MOTORS PAC | GENERAL MOTORS COMPANY PAC - GM PAC | GENERAL MOTORS COMPANY PAC | GENERAL MOTORS | GENERAL MOTORS CORPORATION | GENERAL MOTORS COMPANY
136,INTERNATIONAL PAPER,environment,ENVIRONMENT__EPA_PENALTY_GAP,FACILITY_NAME,28,20,INTERNATIONAL PAPER - LINERBOARD MILL | INTERNATIONAL PAPER - KENT RECYCLING | INTERNATIONAL PAPER BUENA PARK | INTERNATIONAL PAPER PACKAGING PLANT | INTERNATIONAL PAPER CO. (ROME LINERBOARD MILL) | INTERNATIONAL PAPER - RICHMOND RECYCLING CENTER
137,TOYOTA MANUFACTURING,environment,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FACILITY_NAME,1,1,"MAZDA TOYOTA MANUFACTURING USA, INC (MTMUS)"
138,BRISTOL MYERS SQUIBB,immigration,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,146,1,BRISTOL-MYERS SQUIBB COMPANY
139,EQUIFAX,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,ISSUER_NAME,14,3,"EQUIFAX, INC | EQUIFAX, INC. | EQUIFAX INC."
140,HARSCO,money,FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,FACILITY_NAME,1,1,HARSCO CORP
141,ABM,environment,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,4,2,ABM LLC | ABM
142,PARKER HANNIFIN,environment,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_4_FACILITY_NAME,122,38,PARKER HANNIFIN HPS | PARKER HANNIFIN CORP PNEUMATIC DIV KITTERY MAINE | PARKER HANNIFIN SPORLAN DIV - PLANT #3 | PARKER HANNIFIN CORP - NEW ULM | PARKER HANNIFIN CORP MT HOLLY FACILITY | PARKER HANNIFIN
143,SAINT GOBAIN,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,1012,14,"SAINT-GOBAIN CERAMICS & PLASTICS, INC. | SAINT-GOBAIN CERAMICS & PLASTICS INC | SAINT-GOBAIN SOLAR GARD, LLC | SAINT-GOBAIN BUILDING DISTRIBUTION DEUTSCHLAND GMBH | SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION | SAINT-GOBAIN CERAMICS AND PLASTICS, INC"
144,I C SYSTEM,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,2,2,"I.C.SYSTEM, INC. | I.C. SYSTEM, INC."
145,LOCKHEED MARTIN,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,130937,39,"LOCKHEED MARTIN OVERSEAS SERVI | LOCKHEED MARTIN GLOBAL, INC | LOCKHEED MARTIN AUSTRALIA PTY LIMITED | LOCKHEED MARTIN COHERENT TECHNOLOGIES, INC. | LOCKHEED MARTIN AUSTRALIA ELECTRONIC SYSTEMS PTY LTD | LOCKHEED MARTIN SERVICES, INC."
146,CITY OF PHOENIX,environment,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,89,87,CITY OF PHOENIX - CAVE CREEK YARD | CITY OF PHOENIX - FIRE DEPARTMENT ADMINSTRATION | CITY OF PHOENIX - DESERT COVE BUS YARD | CITY OF PHOENIX - ALVORD NURSERY/CESAR CHAVEZ PARK | CITY OF PHOENIX - MARCOS DENIZA | CITY OF PHOENIX - DAM NO. 3
147,TESLA,consumer,CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS,MFR_NAME,1641,1,"TESLA, INC."
148,TRIWEST HEALTHCARE ALLIANCE,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,2250,1,TRIWEST HEALTHCARE ALLIANCE CORP
149,AMAZON COM,politics,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS,ADVERTISER_NAME,1,1,"AMAZON.COM, INC."
150,ORACLE AMERICA,environment,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,34,8,"ORACLE AMERICA - BROOMFIELD CAMPUS | ORACLE AMERICA, INC - 10075 WESTMOOR | ORACLE AMERICA BROOMFIELD | ORACLE AMERICA, INC. | ORACLE AMERICA INC | ORACLE AMERICA, INC"
151,UNIVERSITY OF MICHIGAN,health,HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS,ORGANIZATION_NAME,2,1,REGENTS OF THE UNIVERSITY OF MICHIGAN
152,ALEXION PHARMACEUTICALS,health,HEALTH__FED_FDA_PURPLE_BOOK,APPLICANT,10,1,"ALEXION PHARMACEUTICALS, INC."
153,METHODIST HOSPITAL,environment,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,66,49,"TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL | HOUSTON METHODIST HOSPITAL ADMINSTRATION BUILDING AND GARAGE | ARKANSAS METHODIST HOSPITAL | METHODIST HOSPITAL, INC. | CARLE HEALTH METHODIST HOSPITAL | METHODIST HOSPITAL - CELINA"
154,ORACLE AMERICA,politics,POLITICS__FED_FEC_PAC_SUMMARY,COMMITTEE_NAME,4,1,"ORACLE AMERICA, INC. POLITICAL ACTION COMMITTEE (ORACLE PAC)"
155,NOVARTIS PHARMACEUTICALS,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,1,1,NOVARTIS PHARMACEUTICALS CORPORATION
156,AARP,companies,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,1,1,AARP LIMITED
157,WINCO FOODS,environment,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,18,17,"WINCO FOODS LLC, STORE NO. 138 | WINCO FOODS STORE NO. 162 | WINCO FOODS STORE NO. 176 | WINCO FOODS LLC, STORE NO 141 | ROSEBURG, OR WINCO FOODS | WINCO FOODS"
158,GENERAL ELECTRIC,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,PARENT_CO_NAME,99,6,GENERAL ELECTRIC | GENERAL ELECTRIC CO (GE CO) | PORTLAND GENERAL ELECTRIC CO | GENERAL ELECTRIC CO INC | PORTLAND GENERAL ELECTRIC | GENERAL ELECTRIC CO
159,UCB,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,16,1,"UCB, INC"
160,GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,1,1,GUARDIAN LIFE INSURANCE COMPANY OF AMERICA
161,GLOBUS MEDICAL,health,HEALTH__FED_FDA_ESTABLISHMENT_REG,ESTABLISHMENT_NAME,490,1,"GLOBUS MEDICAL, INC."
162,ERGON,environment,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,1,1,"ERGON HOLDING, LLC"
163,HONEYWELL INTERNATIONAL,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,COMPANY_NAME,2,1,HONEYWELL INTERNATIONAL INC.
164,ABBOTT LABORATORIES,health,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,APPLICABLE_MANUFACTURER_OR_APPLICABLE_GPO_MAKING_PAYMENT_NAME,317207,1,ABBOTT LABORATORIES
165,AMERICAN BANKERS ASSOCIATION,money,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,8919,22,AMERICAN BANKERS ASSOCIATION | AMERICAN BANKERS ASSOCIATION ABA | MRC - AMERICAN BANKERS ASSOCIATION | AMERICAN BANKERS ASSOCIATION/POLITI | AMERICAN BANKERS ASSOCIATION/DEPUTY | AMERICAN BANKERS ASSOCIATION/SENIOR
166,TRUIST FINANCIAL,money,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,5,2,TRUIST FINANCIAL CORP FEDERAL STATE   LOCAL PAC | TRUIST FINANCIAL CORPORATION FEDERAL PAC FORMERLY
167,REGENTS OF THE UNIVERSITY OF CALIFORNIA,health,HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,ORGANIZATION_LEGAL_NAME,11,2,REGENTS OF THE UNIVERSITY OF CALIFORNIA | REGENTS OF THE UNIVERSITY OF CALIFORNIA - UCSF
168,MASS GENERAL BRIGHAM,money,ECONOMICS__FED_IRS_990_EFILE_INDEX,TAXPAYER_NAME,20,4,MASS GENERAL BRIGHAM INCORPORATED & AFFILIATES GROUP RETURN | MASS GENERAL BRIGHAM COMMUNITY PHYSICIANS INC | MASS GENERAL BRIGHAM INCORPORATED | MASS GENERAL BRIGHAM HEALTH PLAN INC
169,JACOBS ENGINEERING,companies,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME,14,4,JACOBS ENGINEERING INC. | JACOBS ENGINEERING GROUP INC | JACOBS ENGINEERING UK LIMITED | JACOBS ENGINEERING GROUP INC.
170,VISA,politics,POLITICS__CA_LOBBY_CHG_LOG,FILER_FULL_NAME,2,2,"VISA INC | VISA, INC."
171,REGENTS OF THE UNIVERSITY OF CALIFORNIA,environment,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,3,1,REGENTS OF THE UNIVERSITY OF CALIFORNIA
172,MAYO CLINIC,health,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,PROVIDER_NAME,22,1,MAYO CLINIC HEALTH SYSTEM - LAKE CITY
173,OPTUM LABS TOPAZ,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,55,1,OPTUM LABS TOPAZ INC
174,PARSONS,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME_RAW,16,2,THE PARSONS CORPORATION | PARSONS CORPORATION
175,REGENTS OF THE UNIVERSITY OF CALIFORNIA,environment,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,3,1,REGENTS OF THE UNIVERSITY OF CALIFORNIA
176,CITIBANK,housing,HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT,ORIGINATING_MORTGAGEE_NAME,4,1,CITIBANK NA
177,SOUTHERN,money,ECONOMICS__FED_IRS_REVOCATION,LEGAL_NAME,1,1,2519863 SOUTHERN COMPANY TMS PLANT
178,CUMMINS,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,15,1,CUMMINS INC
179,GLAXOSMITHKLINE,environment,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,RESPONSIBLE_COMPANY,3,1,GLAXOSMITHKLINE
180,AEROSPACE,money,FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS,FACILITY_NAME,1,1,AEROSPACE CORPORATION
181,EDWARDS LIFESCIENCES,politics,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,100,1,"EDWARDS LIFESCIENCES, LLC"
182,ARCHER DANIELS MIDLAND,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,ISSUER_NAME,13,2,ARCHER-DANIELS-MIDLAND COMPANY | ARCHER DANIELS MIDLAND COMPANY
183,ASSOCIATED BUILDERS AND CONTRACTORS,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,89,67,"ASSOCIATED BUILDERS AND CONTRACTORS OF MARYLAND, INC. V. COMMISSIONER OF LABOR AND INDUSTRY | ENGINEERING CONTRACTORS ASSOCIATION OF SOUTH FLORIDA INC., ASSOCIATED GENERAL CONTRACTORS OF AMERICA, SOUTH FLORIDA CHAP | SELBY-BATTERSBY AND COMPANY, AND ASSOCIATED BUILDERS AND CONTRACTORS OF MARYLAND, INCORPORATED V. NATIONAL LABOR RELATIO | BALTIMORE BUILDING AND CONSTRUCTION TRADES COUNCIL V. ASSOCI"
184,U S BANCORP,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,78,63,"RONALD L. BISHOP V. U.S. BANCORP | VALERIE THOMAS BAHAR, M.D. AND VALERIE THOMAS BAHAR, M.D., P.A. V. LYON FINANCIAL SERVICES, INC., A MINNESOTA CORPORATIO | KELLY WAGGONER V. U.S. BANCORP, A FOREIGN CORPORATION | 98 CAL. DAILY OP. SERV. 2032, 98 DAILY JOURNAL D.A.R. 2845 UNITED STATES OF AMERICA V. $133,735.30 SEIZED FROM U.S. BANC | PEOPLES NATIONAL BANK V. JAMES E. LENTZ, U. S. BANCORP FINANCIA"
185,AMERICAN ACADEMY OF PEDIATRICS,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,1380,21,"OHIO CHAPTER/ AMERICAN ACADEMY OF PEDIATRICS | PENNSYLVANIA CHAPTER AMERICAN ACADEMY OF PEDIATRICS | NEW JERSEY CHAPTER, AMERICAN ACADEMY OF PEDIATRICS, A NJ NON PROFIT CORPORATION | AMERICAN ACADEMY OF PEDIATRICS, DISTRICT IX, CHAPTER 4 | AMERICAN ACADEMY OF PEDIATRICS, MAINE CHAPTER, INC. | GEORGIA CHAPTER-AMERICAN ACADEMY OF PEDIATRICS"
186,GOVERNMENT OF THE UNITED STATES,politics,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,79,1,GOVERNMENT OF THE UNITED STATES VIRGIN ISLANDS
187,MARATHON PETROLEUM,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME,2,1,MARATHON PETROLEUM COMPANY LP
188,U S BANCORP,money,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_NAME,47,1,U.S. BANCORP
189,TEVA PHARMACEUTICALS,environment,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FACILITY_NAME,4,3,TEVA PHARMACEUTICALS USA | TEVA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS
190,WALMART,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,NAME,1,1,WALMART INC.
191,AMERICAN EXPRESS,money,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,28694,319,AMERICAN EXPRESS COMPANY/VP PUBLIC | AMERICAN EXPRESS CORP./ANALYST | AMERICAN EXPRESS TAX & BUSINES | AMERICAN EXPRESS TRS CO./SVPGBL BRO | AMERICAN EXPRESS TRS CO./RLTECHNOLO | AMERICAN EXPRESS TAX SERVICES/CERTI
192,GENZYME,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,PARENT_CO_NAME,1,1,GENZYME CORP
193,COMPUNNEL SOFTWARE,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,2,2,COMPUNNEL SOFTWARE GROUP INC. V. GUPTA | COMPUNNEL SOFTWARE GROUP INC V. GUPTA
194,COMPUTER SCIENCES,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,6,5,"HUMAN COMPUTER SCIENCES, LLC | AQUARIUS INSTITUTE OF COMPUTER SCIENCES | NUMERICAL CONTROL COMPUTER SCIENCES | MEDLINK COMPUTER SCIENCES LLC | AQUARIUS INSTITUTE OF COMPUTER SCIENCES INC"
195,SAFEWAY,companies,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,1,1,SAFEWAY COMPANY LIMITED
196,MICROSOFT,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,NAME,1,1,MICROSOFT CORP
197,CHEVRON,money,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,174,5,CHEVRON CORPORATION | CHEVRON CORP | CHEVRON USA INC. | CHEVRON | CHEVRON CORP.
198,HONEYWELL INTERNATIONAL,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,135414,5,"HONEYWELL INTERNATIONAL INCORPORATED (0650) 994 | HONEYWELL INTERNATIONAL, INC | HONEYWELL INTERNATIONAL INCORPORATED (0650) | HONEYWELL INTERNATIONAL INC. | HONEYWELL INTERNATIONAL INC"
199,US DEPARTMENT OF DEFENSE,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,EMPLOYER_NAME,1,1,US DEPARTMENT OF DEFENSE
