core,pattern,n_lists,lists,cik,raw_names
ASTRAZENECA PHARMACEUTICALS,ASTRAZENECA\s+PHARMACEUTICALS,1,doctor_payments,,AstraZeneca Pharmaceuticals LP
ASTRAZENECA UK,ASTRAZENECA\s+UK,1,doctor_payments,,AstraZeneca UK Limited
AT&T,AT&T,1,pacs,732717,AT&T INC.
AT&T SERVICES INC AND ITS AFFILIATES,AT&T\s+SERVICES\s+INC\s+AND\s+ITS\s+AFFILIATES,1,lobbying,,AT&T SERVICES INC AND ITS AFFILIATES
AVCO CONSULTING,AVCO\s+CONSULTING,1,visas,,AVCO CONSULTING INC
AXSOME THERAPEUTICS,AXSOME\s+THERAPEUTICS,1,doctor_payments,1579428,"Axsome Therapeutics, Inc."
AZZ,AZZ,1,toxic_release,8947,AZZ INC
BAE SYSTEMS,BAE\s+SYSTEMS,1,contracts,,BAE SYSTEMS PLC
BANK OF AMERICA NATIONAL ASSOCIATION,BANK\s+OF\s+AMERICA\s+NATIONAL\s+ASSOCIATION,1,complaints,,"BANK OF AMERICA, NATIONAL ASSOCIATION"
BARCLAYS BANK DELAWARE,BARCLAYS\s+BANK\s+DELAWARE,1,complaints,,BARCLAYS BANK DELAWARE
BASF,BASF,1,toxic_release,,BASF CORP
BATTELLE MEMORIAL INSTITUTE,BATTELLE\s+MEMORIAL\s+INSTITUTE,1,contracts,,BATTELLE MEMORIAL INSTITUTE
BAUSCH & LOMB AMERICAS,BAUSCH\s+&\s+LOMB\s+AMERICAS,1,doctor_payments,,Bausch & Lomb Americas Inc.
BAYER CORPORATION CONSOLIDATED REPORT,BAYER\s+CORPORATION\s+CONSOLIDATED\s+REPORT,1,lobbying,,BAYER CORPORATION (CONSOLIDATED REPORT)
BAYER HEALTHCARE PHARMACEUTICALS,BAYER\s+HEALTHCARE\s+PHARMACEUTICALS,1,doctor_payments,,Bayer Healthcare Pharmaceuticals Inc.
BAYLOR SCOTT AND WHITE HEALTH,BAYLOR\s+SCOTT\s+AND\s+WHITE\s+HEALTH,1,injuries,,Baylor Scott and White Health
BECHTEL,BECHTEL,1,contracts,,"BECHTEL GROUP, INC."
BECTON DICKINSON,BECTON\s+DICKINSON,1,doctor_payments,10795,"Becton, Dickinson and Company"
BELL BOEING JOINT PROJECT OFFICE,BELL\s+BOEING\s+JOINT\s+PROJECT\s+OFFICE,1,contracts,,BELL BOEING JOINT PROJECT OFFICE
BERKSHIRE HATHAWAY,BERKSHIRE\s+HATHAWAY,1,toxic_release,1067983,BERKSHIRE HATHAWAY INC
BIOGEN,BIOGEN,1,doctor_payments,875045,"Biogen, Inc."
BIONTECH SE,BIONTECH\s+SE,1,doctor_payments,1776985,BioNTech SE
BIOTECHNOLOGY INNOVATION ORGANIZATION,BIOTECHNOLOGY\s+INNOVATION\s+ORGANIZATION,1,lobbying,,BIOTECHNOLOGY INNOVATION ORGANIZATION
BLOCK,BLOCK,1,complaints,1512673,"Block, Inc."
BLUE CROSS AND BLUE SHIELD ASSOCIATION,BLUE\s+CROSS\s+AND\s+BLUE\s+SHIELD\s+ASSOCIATION,1,lobbying,,BLUE CROSS AND BLUE SHIELD ASSOCIATION
BLUEPAC BLUE CROSS BLUE SHIELD ASSOCIATION PAC,BLUEPAC\s+BLUE\s+CROSS\s+BLUE\s+SHIELD\s+ASSOCIATION\s+PAC,1,pacs,,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC
BNSF RAILWAY COMPANY RAILPAC BNSF RAILPAC,BNSF\s+RAILWAY\s+COMPANY\s+RAILPAC\s+BNSF\s+RAILPAC,1,pacs,,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC)
BOEHRINGER INGELHEIM PHARMACEUTICALS,BOEHRINGER\s+INGELHEIM\s+PHARMACEUTICALS,1,doctor_payments,,"Boehringer Ingelheim Pharmaceuticals, Inc."
BON SECOURS MERCY HEALTH,BON\s+SECOURS\s+MERCY\s+HEALTH,1,injuries,,Bon Secours Mercy Health
BOOZ ALLEN HAMILTON,BOOZ\s+ALLEN\s+HAMILTON,1,contracts,1443646,BOOZ ALLEN HAMILTON HOLDING CORPORATION
BORDEN,BORDEN,1,toxic_release,,BORDEN INC
BOSTON SCIENTIFIC,BOSTON\s+SCIENTIFIC,1,doctor_payments,885725,Boston Scientific Corporation
BOTTLING,BOTTLING,1,injuries,,BOTTLING GROUP LLC
BP P L C,BP\s+P\s+L\s+C,1,contracts,,BP P.L.C.
BRAUN,BRAUN,1,pacs,,BRAUN
BREAD FINANCIAL,BREAD\s+FINANCIAL,1,complaints,1101215,"Bread Financial Holdings, Inc."
BRENNTAG NORTH AMERICA,BRENNTAG\s+NORTH\s+AMERICA,1,toxic_release,,BRENNTAG NORTH AMERICA INC
BRISTOL MYERS SQUIBB,BRISTOL\s+MYERS\s+SQUIBB,1,pacs,14272,BRISTOL-MYERS SQUIBB COMPANY
BROWNLEY,BROWNLEY,1,pacs,,BROWNLEY
BUSINESS ROUNDTABLE,BUSINESS\s+ROUNDTABLE,1,lobbying,,BUSINESS ROUNDTABLE INC
BYRON DONALDS VICTORY FUND,BYRON\s+DONALDS\s+VICTORY\s+FUND,1,pacs,,BYRON DONALDS VICTORY FUND
CACI INTERNATIONAL,CACI\s+INTERNATIONAL,1,contracts,,CACI INTERNATIONAL INC
CAINE & WEINER,CAINE\s+&\s+WEINER,1,complaints,,"CAINE & WEINER COMPANY, INC."
CALIFORNIA INSTITUTE OF TECHNOLOGY,CALIFORNIA\s+INSTITUTE\s+OF\s+TECHNOLOGY,1,contracts,,CALIFORNIA INSTITUTE OF TECHNOLOGY
CAPGEMINI AMERICA,CAPGEMINI\s+AMERICA,1,visas,,CAPGEMINI AMERICA INC
CAPITAL ONE,CAPITAL\s+ONE,1,visas,,"CAPITAL ONE SERVICES, LLC"
CAPITAL ONE FINANCIAL,CAPITAL\s+ONE\s+FINANCIAL,1,complaints,927628,CAPITAL ONE FINANCIAL CORPORATION
CARGILL,CARGILL,1,toxic_release,,CARGILL INC
CATERPILLAR,CATERPILLAR,1,toxic_release,18230,CATERPILLAR INC
CBC COMPANIES,CBC\s+COMPANIES,1,complaints,,"CBC Companies, Inc."
CC SERVICES INC COUNTRY POLITICAL ACTION COMMITTEE,CC\s+SERVICES\s+INC\s+COUNTRY\s+POLITICAL\s+ACTION\s+COMMITTEE,1,pacs,,CC SERVICES INC COUNTRY POLITICAL ACTION COMMITTEE
CCS FINANCIAL,CCS\s+FINANCIAL,1,complaints,,"CCS Financial Services, Inc."
CELGENE,CELGENE,1,doctor_payments,,Celgene Corporation
CEMEX,CEMEX,1,toxic_release,,CEMEX INC
CENCORA,CENCORA,1,contracts,1140859,"CENCORA, INC."
CENTENE,CENTENE,1,contracts,1071739,CENTENE CORPORATION
CERBERUS CAPITAL MANAGEMENT,CERBERUS\s+CAPITAL\s+MANAGEMENT,1,contracts,,"CERBERUS CAPITAL MANAGEMENT, L.P."
CERNER,CERNER,1,visas,,CERNER CORPORATION
CHAMBER OF COMMERCE OF THE,CHAMBER\s+OF\s+COMMERCE\s+OF\s+THE,1,lobbying,,CHAMBER OF COMMERCE OF THE U.S.A.
CHC BOLD PAC,CHC\s+BOLD\s+PAC,1,pacs,,CHC BOLD PAC
CHEMONICS INTERNATIONAL,CHEMONICS\s+INTERNATIONAL,1,contracts,,"CHEMONICS INTERNATIONAL, INC."
CHEVRON,CHEVRON,1,lobbying,93410,CHEVRON U.S.A. INC.
CHIME FINANCIAL,CHIME\s+FINANCIAL,1,complaints,1795586,Chime Financial Inc
CISCO SYSTEMS,CISCO\s+SYSTEMS,1,visas,858877,"CISCO SYSTEMS, INC."
CITIGROUP,CITIGROUP,1,pacs,831001,CITIGROUP INC.
CITIUSTECH,CITIUSTECH,1,visas,,CITIUSTECH INC
CITIZENS FINANCIAL,CITIZENS\s+FINANCIAL,1,complaints,739421,"CITIZENS FINANCIAL GROUP, INC."
CITY OF CHICAGO,CITY\s+OF\s+CHICAGO,1,injuries,,City of Chicago
CITY OF PHOENIX,CITY\s+OF\s+PHOENIX,1,injuries,,City of Phoenix
CL,CL\s+HOLDINGS\s+LLC,1,complaints,,CL Holdings LLC
CLARK,,1,pacs,,CLARK
CLEAN HARBORS,CLEAN\s+HARBORS,1,toxic_release,822818,CLEAN HARBORS INC
CLEVELAND CLIFFS,CLEVELAND\s+CLIFFS,1,pacs,764065,CLEVELAND-CLIFFS INC.
CLEVELAND CLINIC FOUNDATION,CLEVELAND\s+CLINIC\s+FOUNDATION,1,injuries,,The Cleveland Clinic Foundation
CLGF HOLDCO 1,CLGF\s+HOLDCO\s+1,1,complaints,,"CLGF Holdco 1, LLC"
COALITION OF FRANCHISEE ASSOCIATIONS PAC,COALITION\s+OF\s+FRANCHISEE\s+ASSOCIATIONS\s+PAC,1,pacs,,COALITION OF FRANCHISEE ASSOCIATIONS PAC
COCA COLA ENTERPRISES,COCA\s+COLA\s+ENTERPRISES,1,toxic_release,,COCA-COLA ENTERPRISES INC
COGNIZANT TECHNOLOGY SOLUTIONS,COGNIZANT\s+TECHNOLOGY\s+SOLUTIONS,1,visas,1058290,COGNIZANT TECHNOLOGY SOLUTIONS US CORP
COINBASE,COINBASE,1,complaints,,"Coinbase, Inc."
COLLABORATE SOLUTIONS,COLLABORATE\s+SOLUTIONS,1,visas,,COLLABORATE SOLUTIONS INC
COMCAST,COMCAST,1,lobbying,1166691,COMCAST CORPORATION
COMCAST CABLE COMMUNICATIONS,COMCAST\s+CABLE\s+COMMUNICATIONS,1,visas,,"COMCAST CABLE COMMUNICATIONS, LLC"
COMCAST CABLE COMMUNICATIONS MANAGEMENT,COMCAST\s+CABLE\s+COMMUNICATIONS\s+MANAGEMENT,1,injuries,,"Comcast Cable Communications Management, LLC"
COMERICA,COMERICA,1,complaints,,Comerica
COMMERCIAL METALS,COMMERCIAL\s+METALS,1,toxic_release,22444,COMMERCIAL METALS CO
COMPASS,COMPASS,1,injuries,1563190,Compass Group
COMPUNNEL SOFTWARE,COMPUNNEL\s+SOFTWARE,1,visas,,"COMPUNNEL SOFTWARE GROUP, INC."
COMPUTER SCIENCES,COMPUTER\s+SCIENCES,1,contracts,,COMPUTER SCIENCES CORPORATION
CONAGRA FOODS,CONAGRA\s+FOODS,1,toxic_release,,CONAGRA FOODS INC
CONCRETE SUPPLY,CONCRETE\s+SUPPLY,1,toxic_release,,CONCRETE SUPPLY CO LLC
CONE HEALTH,CONE\s+HEALTH,1,injuries,,Cone Health
CONOCOPHILLIPS,CONOCOPHILLIPS,1,lobbying,1163165,CONOCOPHILLIPS
CONSOLIDATED NUCLEAR SECURITY,CONSOLIDATED\s+NUCLEAR\s+SECURITY,1,contracts,,"CONSOLIDATED NUCLEAR SECURITY, LLC"
CONVATEC,CONVATEC,1,doctor_payments,,ConvaTec Inc.
CONVERGENT RESOURCES,CONVERGENT\s+RESOURCES,1,complaints,,"Convergent Resources, Inc."
CORELOGIC,CORELOGIC,1,complaints,,CORELOGIC INC
COSTCO WHOLESALE,COSTCO\s+WHOLESALE,1,injuries,,COSTCO WHOLESALE
CREDIT ACCEPTANCE,CREDIT\s+ACCEPTANCE,1,complaints,885550,CREDIT ACCEPTANCE CORPORATION
CRH AMERICAS,CRH\s+AMERICAS,1,toxic_release,,CRH AMERICAS INC
CSL PLASMA,CSL\s+PLASMA,1,doctor_payments,,CSL Plasma Inc.
CTIA THE WIRELESS ASSOCIATION,CTIA\s+THE\s+WIRELESS\s+ASSOCIATION,1,lobbying,,CTIA-THE WIRELESS ASSOCIATION
CUMMINS,CUMMINS,1,visas,26172,CUMMINS INC.
DAIRY FARMERS OF AMERICA,DAIRY\s+FARMERS\s+OF\s+AMERICA,1,toxic_release,,DAIRY FARMERS OF AMERICA INC
DALLAS ENTREPRENEURS SESSIONS 2018 FUND,DALLAS\s+ENTREPRENEURS\s+SESSIONS\s+2018\s+FUND,1,pacs,,DALLAS ENTREPRENEURS - SESSIONS 2018 FUND
DAVIS,,1,pacs,,DAVIS
DE LA CRUZ,DE\s+LA\s+CRUZ,1,pacs,,DE LA CRUZ
DEFEND OUR MAJORITY,DEFEND\s+OUR\s+MAJORITY,1,pacs,,DEFEND OUR MAJORITY
DELL TECHNOLOGIES,DELL\s+TECHNOLOGIES,1,contracts,1571996,DELL TECHNOLOGIES INC.
DELOITTE & TOUCHE,DELOITTE\s+&\s+TOUCHE,1,visas,,DELOITTE & TOUCHE LLP
DELOITTE CONSULTING,DELOITTE\s+CONSULTING,1,visas,,DELOITTE CONSULTING LLP
DELTA AIR LINES,DELTA\s+AIR\s+LINES,1,injuries,27904,Delta Air Lines Inc.
DELUXE,DELUXE,1,toxic_release,27996,DELUXE CORP
DENTSPLY SIRONA,DENTSPLY\s+SIRONA,1,doctor_payments,818479,Dentsply Sirona Inc
DEPUY SYNTHES PRODUCTS,DEPUY\s+SYNTHES\s+PRODUCTS,1,doctor_payments,,"DePuy Synthes Products, Inc."
DISCOUNT TIRE,DISCOUNT\s+TIRE,1,injuries,,Discount Tire
DISCOVER,DISCOVER,1,complaints,,DISCOVER BANK
DITECH FINANCIAL,DITECH\s+FINANCIAL,1,complaints,,Ditech Financial LLC
DOMESTIC AWARDEES UNDISCLOSED,DOMESTIC\s+AWARDEES\s+UNDISCLOSED,1,contracts,,DOMESTIC AWARDEES (UNDISCLOSED)
DOVER,DOVER,1,toxic_release,29905,DOVER CORP
DOW CHEMICAL COMPANY DBA DOW,DOW\s+CHEMICAL\s+COMPANY\s+DBA\s+DOW,1,lobbying,,DOW CHEMICAL COMPANY DBA DOW
E R SQUIBB & SONS,E\s+R\s+SQUIBB\s+&\s+SONS,1,doctor_payments,,"E.R. Squibb & Sons, L.L.C."
EARLY WARNING,EARLY\s+WARNING,1,complaints,,"Early Warning Services, LLC"
EATON,EATON,1,toxic_release,1551182,EATON CORP
EBAY,EBAY,1,visas,1065088,EBAY INC.
ECOLAB,ECOLAB,1,toxic_release,31462,ECOLAB INC
EDFINANCIAL,EDFINANCIAL,1,complaints,,EdFinancial Services
EDGE ENDO,EDGE\s+ENDO,1,doctor_payments,,Edge Endo LLC
EDISON ELECTRIC INSTITUTE,EDISON\s+ELECTRIC\s+INSTITUTE,1,lobbying,,EDISON ELECTRIC INSTITUTE
EDWARDS LIFESCIENCES,EDWARDS\s+LIFESCIENCES,1,doctor_payments,1099800,Edwards Lifesciences Corporation
ELECT DEMOCRATIC WOMEN,ELECT\s+DEMOCRATIC\s+WOMEN,1,pacs,,ELECT DEMOCRATIC WOMEN
ELECTRIC BOAT,ELECTRIC\s+BOAT,1,contracts,,ELECTRIC BOAT CORPORATION
EMD SERONO,EMD\s+SERONO,1,doctor_payments,,"EMD Serono, Inc."
EMERSON ELECTRIC,EMERSON\s+ELECTRIC,1,toxic_release,32604,EMERSON ELECTRIC CO
EMMER MAJORITY BUILDERS,EMMER\s+MAJORITY\s+BUILDERS,1,pacs,,EMMER MAJORITY BUILDERS
ENCORE CAPITAL,ENCORE\s+CAPITAL,1,complaints,1084961,ENCORE CAPITAL GROUP INC.
ENCORE MEDICAL,ENCORE\s+MEDICAL,1,doctor_payments,1838003,"ENCORE MEDICAL, LP"
END CITIZENS UNITED,END\s+CITIZENS\s+UNITED,1,pacs,,END CITIZENS UNITED
ENERGY TRANSFER,ENERGY\s+TRANSFER,1,toxic_release,1276187,ENERGY TRANSFER LP
ENGINEERS POLITICAL EDUCATION COMMITTEE EPEC INTERNATIONAL UNION OF OPERATING ENGINEERS,ENGINEERS\s+POLITICAL\s+EDUCATION\s+COMMITTEE\s+EPEC\s+INTERNATIONAL\s+UNION\s+OF\s+OPERATING\s+ENGINEERS,1,pacs,,ENGINEERS POLITICAL EDUCATION COMMITTEE (EPEC)/INTERNATIONAL UNION OF OPERATING ENGINEERS
EQUALITY PAC,EQUALITY\s+PAC,1,pacs,,EQUALITY PAC
EQUIFAX,EQUIFAX,1,complaints,33185,"EQUIFAX, INC."
ERC,ERC,1,complaints,,ERC
ERGON,ERGON,1,toxic_release,,ERGON INC
