company,lists,domain,schema,table,col,rows,distinct,sample
COINBASE,complaints,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,1,1,"COINBASE, INC."
COINBASE,complaints,consumer,CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPANY,9657,1,"COINBASE, INC."
COINBASE,complaints,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,46,3,"COINBASE | COINBASE, INC. | COINBASE INC."
COINBASE,complaints,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,1,1,"COINBASE, INC."
COINBASE,complaints,justice,JUSTICE,JUSTICE__FED_SCDB,CASE_NAME,18,2,"COINBASE, INC. V. BIELSKI | COINBASE V. SUSKI"
COINBASE,complaints,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,6,6,"JEFFREY BERK V. COINBASE, INC. | COINBASE INC V. UNITED STATES SECURITIESAND EXCHANGE COMMISSION | ABRAHAM BIELSKI V. COINBASE, INC. | COINBASE, INC. V. BIELSKI | DAVID SUSKI V. COINBASE, INC. | COINBASE, INC. V. SUSKI"
COINBASE,complaints,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,3,2,"EZRA C. SULTAN V. COINBASE, INC. | KARAN TANDON V. COINBASE, INC., ET AL."
COINBASE,complaints,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,34,26,"DAVID SUSKI V. COINBASE, INC. | AGGARWAL V. COINBASE, INC. | COINBASE, INC. V. SHERRER | COLEMAN V. COINBASE, INC. | COINBASE, INC. V. MOON | COINBASE, INC. V. BIELSKI"
COINBASE,complaints,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME,113,91,"RODRIGUEZ NAVARRO V. COINBASE, INC. | HAMIDOV V. COINBASE | MURPHY V. COINBASE, INC. | KRUMDIECK V. COINBASE, INC. | STEPHEN V. COINBASE, INC. | COINBASE, INC. V. PATEL"
COINBASE,complaints,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,2,2,"EZRA C. SULTAN V. COINBASE, INC. | COINBASE INC V. UNITED STATES SECURITIESAND EXCHANGE COMMISSION"
COINBASE,complaints,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_SHORT,1,1,COINBASE
COINBASE,complaints,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_NAME,3,1,COINBASE INC
COINBASE,complaints,money,FINANCE,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,47,2,COINBASE INC | COINBASE
COINBASE,complaints,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME_RAW,8,2,"COINBASE, INC. | COINBASE INC"
COINBASE,complaints,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,2,1,COINBASE  INC.
COINBASE,complaints,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,8,1,COINBASE INC
COINBASE,complaints,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,5,2,COINBASE INC | COINBASE  INC.
COINBASE,complaints,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,16,1,COINBASE INC
COINBASE,complaints,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,9,2,COINBASE  INC. | COINBASE INC
COINBASE,complaints,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,3941,5,"COINBASE, INC. | COINBASE, INC | COINBASE INC | COINBASE | COINBASE INC."
COINBASE,complaints,politics,POLITICS,POLITICS__IRS527_RELATED_ENTITIES,ENTITY_NAME,2,2,COINBASE | COINBASE INC
COINBASE,complaints,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,ENTITY_NAME,2,1,"COINBASE, INC."
COINBASE,complaints,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,FILER_FULL_NAME,1,1,"COINBASE, INC."
COINBASE,complaints,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,EMPLOYER_NAME,4,2,COINBASE INC | COINBASE
COINBASE,complaints,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,EMPLOYER_NAME,11,3,COINBASE | COINBASE INC. | COINBASE INC
COINBASE,complaints,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,205,2,"COINBASE, INC | COINBASE, INC."
COINBASE,complaints,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,33,1,"COINBASE, INC."
COLLABORATE SOLUTIONS,visas,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,1,1,COLLABORATE SOLUTIONS LTD
COLLABORATE SOLUTIONS,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,688,2,COLLABORATE SOLUTIONS INC. | COLLABORATE SOLUTIONS INC
COLLABORATE SOLUTIONS,visas,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,5,3,"COLLABORATE SOLUTIONS, INC. | COLLABORATE SOLUTIONS INC | COLLABORATE SOLUTIONS, INC"
COLLABORATE SOLUTIONS,visas,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,5,3,"COLLABORATE SOLUTIONS, INC | COLLABORATE SOLUTIONS INC | COLLABORATE SOLUTIONS, INC."
COLLABORATE SOLUTIONS,visas,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,3,2,COLLABORATE SOLUTIONS INC. | COLLABORATE SOLUTIONS
COMCAST,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,NAME,1,1,COMCAST GROUP LIMITED
COMCAST,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,NAME,1,1,COMCAST GROUP LIMITED
COMCAST,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,ORIGINAL_NAME,1,1,COMCAST GROUP LIMITED
COMCAST,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,1,1,COMCAST LIMITED
COMCAST,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME,49,1,COMCAST CORPORATION
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS,RESPONSIBLE_COMPANY,2,1,COMCAST
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FACILITY_NAME,2,1,COMCAST
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWS_NAME,2,2,COMCAST | COMCAST CORPORATION
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,RESPONSIBLE_COMPANY,7,1,COMCAST
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,3,1,COMCAST
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,77,3,COMCAST INC | COMCAST | COMCAST CORPORATION
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,77,5,COMCAST | COMCAST CORPORATION | COMCAST INC | COMCAST CORP. | COMCAST CORP
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,80,4,COMCAST INC | COMCAST CORP. | COMCAST CORPORATION | COMCAST
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,88,5,COMCAST | COMCAST CORP | COMCAST CORP. | COMCAST CORPORATION | COMCAST INC
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,88,5,COMCAST CORPORATION | COMCAST | COMCAST CORP. | COMCAST CORP | COMCAST INC
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,88,5,COMCAST | COMCAST CORP | COMCAST CORP. | COMCAST INC | COMCAST CORPORATION
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,PARENT_LEGAL_NAME,32,1,COMCAST CORPORATION
COMCAST,lobbying,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,MATCHED_LEGAL_NAME,2,1,COMCAST CORPORATION
COMCAST,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_2,32,2,COMCAST CORPORATION | COMCAST
COMCAST,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,1378,8,"COMCAST LLC | COMCAST CORPORATION | COMCAST, INC. | COMCAST INC. | COMCAST | COMCAST CORP"
COMCAST,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,1,1,COMCAST CORPORATION
COMCAST,lobbying,justice,JUSTICE,JUSTICE__FED_SCDB,CASE_NAME,18,2,"COMCAST CORP. V. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA | COMCAST CORPORATION, ET AL., PETITIONERS V. CAROLINE BEHREND ET AL."
COMCAST,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,15,15,"COMCAST V. FINISAR | CHARLES TILLAGE V. COMCAST CORPORATION | COMCAST CORP. V. NATIONAL ASS. OF AFRICAN AMERICAN-OWNED MEDIA | GLORIA RODRIGUEZ V. COMCAST, INC. | JOSE NON V. COMCAST, INC. | BEHREND V. COMCAST CORP"
COMCAST,lobbying,justice,JUSTICE,JUSTICE__INTL_OPENSANCTIONS_DEFAULT,NAME,1,1,COMCAST
COMCAST,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,188,134,"CLARK V. COMCAST CORP. | MILLER, T. V. COMCAST CORP. | EARDLEY V. COMCAST CORP. | DO V. COMCAST CORPORATION | JOSE NON V. COMCAST, INC. | TYLER KASPERS V. COMCAST CORPORATION"
COMCAST,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,51,37,"SCOTT JACOBSON, ET AL. V. COMCAST CORPORATION., ET AL. | COMCAST CORPORATION V. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA | CAROLINE BEHREND V. COMCAST CORPORATION | WHDH-TV V. COMCAST CORP. | COMCAST CORPORATION V. CHARLES E. TILLAGE | THIBODEAU V. COMCAST"
COMCAST,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,40,27,"TOM LAN V. COMCAST CORPORATION, LLC. | THIBODEAU V. COMCAST | WHDH-TV V. COMCAST CORP. | JACK ROGERS AND PAUL PINELLA V. COMCAST CORPORATION, DEFENDANTS MARTH KRISTIAN V. COMCAST CORPORATION | WANDA E. TORRENCE V. COMCAST CORPORATION | STANFORD GLABERSON V. COMCAST CORPORATION"
COMCAST,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_SHORT,28,3,COMCAST | O'ROURKE-V-COMCAST CORP | COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,NAME,1,1,COMCAST
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q1,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2026Q1,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q1,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q4,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q4,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q3,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q3,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q2,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q2,NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,COMPANY_NAME,2,1,COMCAST CORP
COMCAST,lobbying,money,PROCUREMENT,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_PARENT_NAME_RAW,3,1,COMCAST CORPORATION
COMCAST,lobbying,money,PROCUREMENT,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_PARENT_NAME,5,1,COMCAST CORPORATION
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_EDGAR_FINANCIALS,NAME,8,1,COMCAST CORP
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_527_ORGS,CUSTODIAN_NAME,6,1,COMCAST CORPORATION
COMCAST,lobbying,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,FACILITY_NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_PCAOB_FORM_AP_FILINGS,ISSUER_NAME,11,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,FACILITY_NAME,1,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_INSIDER_SUBMISSION,ISSUER_NAME,759,1,COMCAST CORP
COMCAST,lobbying,money,FINANCE,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,OWNER_NAME,12,1,COMCAST CORP
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,ESTAB_NAME,120,5,COMCAST CORP. | COMCAST CORPORATION | COMCAST CORP | COMCAST HOLDINGS CORP | COMCAST
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_PARENT_NAME,278,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_DOING_BUSINESS_AS_NAME,20,1,COMCAST
COMCAST,lobbying,money,FINANCE,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES,RECIPIENT_NAME,931,4,"COMCAST, | COMCAST CORPORATION | COMCAST  | COMCAST"
COMCAST,lobbying,money,FINANCE,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,528,5,COMCAST CORPORATION | COMCAST	 | COMCAST | COMCAST  | COMCAST CORP.
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,220,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_DOING_BUSINESS_AS_NAME,104,1,COMCAST
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,2170,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME_RAW,150,2,COMCAST | COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,3050,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,979,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,14569,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_DOING_BUSINESS_AS_NAME,575,1,COMCAST
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,1,1,COMCAST
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME_RAW,34984,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME,31822,1,COMCAST CORPORATION
COMCAST,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,1,1,COMCAST
COMCAST,lobbying,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,59735,19,"COMCAST CORPORATION | COMCAST   CORP | COMCAST HOLDINGS CORP | COMCAST, CORP. | COMCAST LLC | COMCAST."
COMCAST,lobbying,politics,POLITICS,POLITICS__IRS527_8872_REPORTS,CUSTODIAN_NAME,5,1,COMCAST CORPORATION
COMCAST,lobbying,politics,POLITICS,POLITICS__IRS527_RELATED_ENTITIES,ENTITY_NAME,14,1,COMCAST CORPORATION
COMCAST,lobbying,politics,POLITICS,POLITICS__IRS527_8871_ORGS,CUSTODIAN_NAME,6,1,COMCAST CORPORATION
COMCAST,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,ENTITY_NAME,5,1,COMCAST CORPORATION
COMCAST,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,FILER_FULL_NAME,6,1,COMCAST CORPORATION
COMCAST,lobbying,politics,POLITICS,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,REGISTRANT_NAME,48,1,COMCAST CORPORATION
COMCAST,lobbying,politics,POLITICS,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,319,2,COMCAST CORPORATION | COMCAST
COMCAST,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION,EMPLOYER_NAME,1,1,COMCAST
COMCAST,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION,EMPLOYER_NAME,24,2,COMCAST | COMCAST CORP
COMCAST,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,EMPLOYER_NAME,21,3,COMCAST CORP | COMCAST CORPORATION | COMCAST
COMCAST,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,EMPLOYER_NAME,47,2,COMCAST | COMCAST INC.
COMCAST,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_COVER,FIRM_NAME,61,2,COMCAST CORPORATION | COMCAST
COMCAST,lobbying,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,2946,3,COMCAST | COMCAST CORP | COMCAST CORPORATION
COMCAST,lobbying,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,93,1,COMCAST CORPORATION
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FACILITY_NAME,9,4,COMCAST CABLE COMMUNICATIONS- 60 KW GEN  | COMCAST CABLE COMMUNICATIONS | COMCAST CABLE COMMUNICATIONS - COMCAST | COMCAST CABLE COMMUNICATIONS            
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,ORG_NAME,1,1,COMCAST CABLE COMMUNICATIONS
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,1,1,"COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC"
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,13,4,"COMCAST CABLE COMMUNICATIONS | COMCAST CABLE COMMUNICATIONS LLC | COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC | COMCAST CABLE COMMUNICATIONS MANAGEMENT LLC"
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,52,10,"COMCAST CABLE COMMUNICATIONS INC | COMCAST CABLE COMMUNICATIONS- 60 KW GEN | COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC | COMCAST CABLE COMMUNICATIONS | COMCAST CABLE COMMUNICATIONS LLC | COMCAST CABLE COMMUNICATIONS, LLC"
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,40,10,"COMCAST CABLE COMMUNICATIONS SEA ROOSEVE | COMCAST CABLE COMMUNICATIONS MANAGEMENT LLC | COMCAST CABLE COMMUNICATIONS LLC | COMCAST CABLE COMMUNICATIONS, INC | COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC | COMCAST CABLE COMMUNICATIONS- 60 KW GEN"
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,81,10,"COMCAST CABLE COMMUNICATIONS INC | COMCAST CABLE COMMUNICATIONS | COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC | COMCAST CABLE COMMUNICATIONS LLC | COMCAST CABLE COMMUNICATIONS, INC | COMCAST CABLE COMMUNICATIONS- 60 KW GEN"
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,107,28,"COMCAST CABLE COMMUNICATIONS LLC | COMCAST CABLE COMMUNICATIONS SELAH | COMCAST CABLE COMMUNICATIONS, INC | COMCAST CABLE COMMUNICATIONS SEA | COMCAST CABLE COMMUNICATIONS MANAGEMENT LLC | COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC"
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,107,28,"COMCAST CABLE COMMUNICATIONS INC | COMCAST CABLE COMMUNICATIONS  INC | COMCAST CABLE COMMUNICATIONS STEPTOE BUT | COMCAST CABLE COMMUNICATIONS, LLC | COMCAST CABLE COMMUNICATIONS LLC | COMCAST CABLE COMMUNICATIONS FERNDALE"
COMCAST CABLE COMMUNICATIONS,visas,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,MATCHED_LEGAL_NAME,29,1,"COMCAST CABLE COMMUNICATIONS, LLC"
COMCAST CABLE COMMUNICATIONS,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_2,48,7,"COMCAST CABLE COMMUNICATIONS MANAGEMENT | COMCAST CABLE COMMUNICATIONS | COMCAST CABLE COMMUNICATIONS, INC. | COMCAST CABLE COMMUNICATIONS MANAGEMENT LLC | COMCAST CABLE COMMUNICATIONS, LLC | COMCAST CABLE  COMMUNICATIONS MANAGEMENT LLC"
COMCAST CABLE COMMUNICATIONS,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,541,20,"COMCAST CABLE COMMUNICATIONS | COMCAST CABLE COMMUNICATIONS MANAGEMENT,LLC | COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC - NBC | COMCAST CABLE COMMUNICATIONS LLC | COMCAST CABLE COMMUNICATIONS MANAGEMENT.LLC | COMCAST CABLE COMMUNICATIONS MANAGEMENT INC"
COMCAST CABLE COMMUNICATIONS,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,772,1,"COMCAST CABLE COMMUNICATIONS, LLC"
COMCAST CABLE COMMUNICATIONS,visas,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,14,11,"NEXSTEP, INC. V. COMCAST CABLE COMMUNICATIONS, LLC | WHEREVERTV, INC. V. COMCAST CABLE COMMUNICATIONS, LLC | TWO-WAY MEDIA LTD. V. COMCAST CABLE COMMUNICATIONS | SPRINT COMMUNICATIONS COMPANY V. COMCAST CABLE COMMUNICATIONS | MICHAEL HEARN V. COMCAST CABLE COMMUNICATIONS, LLC | BRANDON HODGES V. COMCAST CABLE COMMUNICATIONS"
COMCAST CABLE COMMUNICATIONS,visas,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,88,67,"JAMES BRAND V. COMCAST CORPORATION & COMCAST CABLE COMMUNICATIONS MANAGEMENT, LLC | MARC DAMBROSIO KENNETH SAFFREN STANFORD GLABERSON ERIC BRISLAWN JOAN EVANCHUK-KIND LAWRENCE RUDMAN BARBI J. WEINBERG MIC | IN RE: REMBRANDT TECHNOLOGIES LP PATENT LITIGATION REMBRANDT TECHNOLOGIES, LP, REMBRANDT TECHNOLOGIES, LLC, DBA REMSTREA | BLAB T V. OF MOBILE, INC. D.B.A. BAY T V.  PLAINTIFF-APPELLANT, V. COMCAST CABLE COMMUNICATIONS, INC., COMCAST CABLEVISI | BUYERLEVERAGE EMAIL SOLUTIONS LLC, A DELAWARE LIMITED LIABILITY COMPANY V. MICROSOFT CORPORATION, TIME WARNER CABLE, INC | TWO-WAY MEDIA LTD. V. COMCAST CABLE COMMUNICATIONS, LLC"
