BUYER_DEA_NO	BUYER	CITY	ST	FIPS	ACT	REPORTER_DEA_NO	REPORTER	FAMILY	RCITY	RST	RACT	DU	O30	Y0	Y1	N
BF9927988	FOOD CITY PHARMACY #827	CEDAR BLUFF	VA	51185	CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	357400.0	15000.0	2006	2012	1201
BL8436784	LOBOS ACQUISTION LLC	KNOXVILLE	TN	47093	RETAIL PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	75900.0	900.0	2006	2006	184
BF2980084	FOOD CITY PHCY OF MARION	MARION	VA	51173	RETAIL PHARMACY	RW0286333	CARDINAL HEALTH, INC.	Cardinal Health	SIMPSONVILLE	KY	DISTRIBUTOR	60900.0	2800.0	2006	2006	184
AC0401226	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	992800.0	324700.0	2006	2012	2566
FF1127744	FOOD CITY PHARMACY #654	CLINTON	TN	47001	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	13900.0	1100.0	2012	2012	35
FF0218126	FOOD CITY PHARMACY #676	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	16400.0	2700.0	2012	2012	36
BT5292444	THE MEDICINE SHOPPE PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RG0208581	THE HARVARD DRUG GROUP	The Harvard Drug Group	INDIANAPOLIS	IN	DISTRIBUTOR	20700.0	500.0	2011	2012	38
BL8436784	LOBOS ACQUISTION LLC	KNOXVILLE	TN	47093	RETAIL PHARMACY	RH0272930	HEARTLAND REPACK SERVICES	Heartland Repack Services	TOLEDO	OH	MANUFACTURER	89900.0	0.0	2006	2006	20
BK1124560	KROGER PHARMACY #886	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	42000.0	400.0	2006	2008	269
BF9649510	FOOD CITY PHARMACY #686	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	8200.0	2100.0	2009	2009	16
AM7334749	COMMUNITY PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RW0231883	DOHMEN DISTRIBUTION PARTNERS	Dohmen Distribution Partners	BIRMINGHAM	AL	DISTRIBUTOR	4000.0	0.0	2006	2006	31
BF6412869	FOOD CITY PHARMACY #688	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	629880.0	75300.0	2006	2012	1797
BW8639873	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	403400.0	0.0	2008	2012	1457
BF7399531	FOOD CITY PHARMACY #644	SEYMOUR	TN	47155	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	28600.0	0.0	2006	2009	53
BW6210378	WALGREEN CO.	FARRAGUT	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	523200.0	0.0	2008	2012	1791
BF8998087	FOOD CITY PHARMACY #670	GRAY	TN	47179	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	330540.0	3400.0	2006	2012	1097
BB6174572	BI-LO, #344	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	35200.0	20000.0	2006	2006	54
BF8273485	FOOD CITY PHARMACY #601	JOHNSON CITY	TN	47179	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1323100.0	42300.0	2006	2012	3285
BW5384944	WAL-MART PHARMACY 10-1318	KNOXVILLE (NW)	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	37100.0	8700.0	2006	2012	166
FP1569714	PENINSULA OUTPATIENT PHARMACY - KNOX	KNOXVILLE	TN	47093	RETAIL PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	10450.0	0.0	2009	2012	68
BB5874842	BI-LO, #572	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	58100.0	35600.0	2006	2006	99
BF7704667	FOOD CITY PHARMACY #428	MIDDLESBORO	KY	21013	CHAIN PHARMACY	RA0289074	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	ANTIOCH	TN	DISTRIBUTOR	147500.0	1100.0	2006	2006	218
FS0180783	SENIOR PHARMACY OPTIONS LLC, D/B/A BEVERLY PARK PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	PS0001723	SMITH DRUG COMPANY	Smith Drug Company	SPARTANBURG	SC	DISTRIBUTOR	24500.0	200.0	2007	2007	68
FF1280089	FOOD CITY PHARMACY # 616	KNOXVILLE	TN	47093	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	1100.0	0.0	2011	2011	3
BF7663001	FOOD CITY PHARMACY #611	GATLINBURG	TN	47155	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	61600.0	600.0	2009	2011	85
BF8698853	FOOD CITY PHARMACY 634	HARRIMAN	TN	47145	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	10300.0	0.0	2012	2012	28
BB8876142	BEVERLY PARK PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	11800.0	0.0	2006	2007	30
AC0401303	REVCO DISCOUNT DRUG CENTERS, INC.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	76300.0	9800.0	2006	2008	204
AW3036729	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0277752	WALGREEN CO	Walgreen Co	JUPITER	FL	DISTRIBUTOR	33400.0	3000.0	2006	2007	171
FF0911811	FOOD CITY PHARMACY #682	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	195800.0	109400.0	2008	2011	164
FC3548419	COSTCO WHOLESALE CORPORATION	FARRAGUT	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	7700.0	600.0	2012	2012	30
BF7440150	FOOD CITY PHARMACY #604	NEWPORT	TN	47029	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	36540.0	9700.0	2012	2012	120
BF9669651	FOOD CITY PHARMACY #610	PIGEON FORGE	TN	47155	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	12500.0	3600.0	2009	2009	24
BK6048044	FOOD CITY PHARMACY #605	KINGSPORT	TN	47163	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	16400.0	0.0	2006	2011	33
BB6383169	BELEW DRUG	KNOXVILLE	TN	47093	RETAIL PHARMACY	RG0359390	GENERICS BIDCO I, LLC	Par Pharmaceutical, Inc.	HUNTSVILLE	AL	DISTRIBUTOR	370500.0	0.0	2007	2008	49
FF1186875	FOOD CITY PHARMACY # 699	PINEY FLATS	TN	47163	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	29000.0	0.0	2009	2011	50
AM7334749	COMMUNITY PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	5000.0	0.0	2006	2007	25
BB6174572	BI-LO, #344	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0180733	ANDA, INC	Anda, Inc	WESTON	FL	DISTRIBUTOR	34800.0	0.0	2006	2006	25
BF6852087	FOOD CITY PHARMACY #641	JOHNSON CITY	TN	47179	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	6300.0	200.0	2012	2012	23
BF9612614	FOOD CITY PHARMACY #675	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	398200.0	103000.0	2006	2012	1374
BF6660206	FOOD CITY PHARMACY #655	KNOXVILLE	TN	47093	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	91100.0	0.0	2006	2011	135
BS6743000	SAM'S PHARMACY 10-6572	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0133479	WAL-MART PHARMACY WAREHOUSE	Wal-Mart	TIFTON	GA	DISTRIBUTOR	189400.0	0.0	2006	2007	1071
FM2997116	MAC'S PHARMACY #2	POWELL	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	10600.0	500.0	2012	2012	48
BF6678479	FOOD CITY PHARMACY #816	BRISTOL	VA		CHAIN PHARMACY	RM0424363	MCKESSON CORPORATION	McKesson Corporation	RUTHER GLEN	VA	DISTRIBUTOR	18000.0	0.0	2012	2012	43
BF6256413	FOOD CITY PHARMACY #852	BLUEFIELD	VA	51185	CHAIN PHARMACY	RM0424363	MCKESSON CORPORATION	McKesson Corporation	RUTHER GLEN	VA	DISTRIBUTOR	19900.0	0.0	2012	2012	31
BF6412869	FOOD CITY PHARMACY #688	KNOXVILLE	TN	47093	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	5500.0	0.0	2006	2008	9
BF7000526	FOOD CITY PHARMACY #674	KNOXVILLE	TN	47093	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	25000.0	3000.0	2006	2010	24
BF6412869	FOOD CITY PHARMACY #688	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	100.0	0.0	2009	2009	1
FF1127732	FOOD CITY PHARMACY #650	LENOIR CITY	TN	47105	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	6600.0	0.0	2009	2010	9
FB2378835	BELEW DRUGS ASHEVILLE HIGHWAY LLC	KNOXVILLE	TN	47093	RETAIL PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	8900.0	5700.0	2011	2011	6
BN0742331	NORWOOD PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0180733	ANDA, INC	Anda, Inc	WESTON	FL	DISTRIBUTOR	6000.0	0.0	2006	2010	6
BF6412857	FOOD CITY PHARMACY #677	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	24500.0	14700.0	2011	2011	16
BF4584024	FOUR WAY PRESCRIPTION SHOP	KNOXVILLE	TN	47093	RETAIL PHARMACY	RE0305018	EXPERT-MED INC	Expert-Med	GREENVILLE	SC	DISTRIBUTOR	900.0	0.0	2006	2006	1
BK1115395	KROGER PHARMACY #684	KNOXVILLE	TN	47093	CHAIN PHARMACY	PP0220828	KROGER LIMITED PARTNERSHIP II	Kroger	BLUFFTON	IN	DISTRIBUTOR	200.0	0.0	2006	2006	2
AG6259940	GORDON'S DRUG COMPANY	KNOXVILLE	TN	47093	RETAIL PHARMACY	PR0095794	RICHIE PHARMACAL CO INC	Richie Pharmacal	GLASGOW	KY	DISTRIBUTOR	1000.0	0.0	2006	2006	1
BB6383169	BELEW DRUG	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0180733	ANDA, INC	Anda, Inc	WESTON	FL	DISTRIBUTOR	400.0	0.0	2009	2009	1
BK6696720	KROGER PHARMACY #870	KNOXVILLE	TN	47093	CHAIN PHARMACY	PP0220828	KROGER LIMITED PARTNERSHIP II	Kroger	BLUFFTON	IN	DISTRIBUTOR	200.0	0.0	2006	2006	1
BW3059284	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0294493	WALGREEN CO	Walgreen Co	PERRYSBURG	OH	DISTRIBUTOR	1123600.0	123100.0	2006	2012	2743
BF6678479	FOOD CITY PHARMACY #816	BRISTOL	VA		CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	729400.0	3500.0	2006	2012	1969
BF6964298	FOOD CITY PHARMACY #821	BRISTOL	VA		CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	2201360.0	21600.0	2006	2012	3223
BS9884013	SUMMIT VIEW PHARMACY SERVICES, INC.	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	536800.0	7700.0	2006	2012	1463
AW8388743	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0294493	WALGREEN CO	Walgreen Co	PERRYSBURG	OH	DISTRIBUTOR	2248900.0	319400.0	2006	2012	4125
FF1898684	FOOD CITY PHARMACY #661	LA FOLLETTE	TN	47013	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	150700.0	53600.0	2010	2012	469
FF1076365	FOOD CITY PHARMACY # 612	ROGERSVILLE	TN	47073	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	13300.0	3400.0	2009	2011	44
BN3501992	NETWORK HEALTHCARE	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	3125350.0	31500.0	2006	2012	2798
BF6852087	FOOD CITY PHARMACY #641	JOHNSON CITY	TN	47179	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	344700.0	9600.0	2006	2012	1130
BW5384956	WAL-MART PHARMACY 10-1319	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0282145	WAL-MART PHARMACY WHSE #45	Wal-Mart	ROGERS	AR	DISTRIBUTOR	473400.0	116400.0	2006	2012	1706
BF8518687	FOOD CITY PHARMACY #667	SEVIERVILLE	TN	47155	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1000700.0	135100.0	2006	2012	2338
BW0315677	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0294493	WALGREEN CO	Walgreen Co	PERRYSBURG	OH	DISTRIBUTOR	2600600.0	392600.0	2006	2012	4636
BW5384944	WAL-MART PHARMACY 10-1318	KNOXVILLE (NW)	TN	47093	CHAIN PHARMACY	RW0282145	WAL-MART PHARMACY WHSE #45	Wal-Mart	ROGERS	AR	DISTRIBUTOR	421400.0	91900.0	2006	2012	1709
BF4584024	FOUR WAY PRESCRIPTION SHOP	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	753000.0	260500.0	2006	2010	1428
AW3036729	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	1208600.0	0.0	2008	2012	2725
BW0818611	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	1515660.0	0.0	2008	2012	3188
AR2166660	TENNESSEE CVS PHARMACY, L.L.C.	FARRAGUT	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	871000.0	174400.0	2006	2012	2816
BR9504211	RIGGS DRUG EMORY ROAD	POWELL	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	1274730.0	419900.0	2006	2010	2184
FF1280089	FOOD CITY PHARMACY # 616	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1750400.0	1251600.0	2009	2012	1377
BF2980084	FOOD CITY PHCY OF MARION	MARION	VA	51173	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	958610.0	51300.0	2006	2012	2249
FF2232673	FOOD CITY PHARMACY #646	MORRISTOWN	TN	47063	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	91200.0	16400.0	2010	2012	264
BF6468878	FOOD CITY PHARMACY #642	OLIVER SPRINGS	TN	47145	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	237400.0	0.0	2006	2010	466
AC0401240	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	132900.0	46300.0	2006	2012	862
BF9159890	FOOD CITY PHARMACY #458	PIKEVILLE	KY	21195	CHAIN PHARMACY	RA0314562	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	LOCKBOURNE	OH	DISTRIBUTOR	684560.0	900.0	2006	2012	1561
BF6514992	FOOD CITY PHARMACY #626	ALCOA	TN	47009	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	424800.0	38000.0	2006	2010	1224
BW8012976	WALGREEN CO.	POWELL	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	912500.0	0.0	2008	2012	2642
BK5627748	K-VA-T FOOD STORES INC	POWELL	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1095400.0	294100.0	2006	2012	2872
BF8182026	FOOD CITY PHARMACY #895	PENNINGTON GAP	VA	51105	CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	1042900.0	8500.0	2006	2012	2557
BF4584024	FOUR WAY PRESCRIPTION SHOP	KNOXVILLE	TN	47093	RETAIL PHARMACY	RS0190443	SAJ DISTRIBUTORS	SAJ Distributors	PINE BLUFF	AR	DISTRIBUTOR	682900.0	0.0	2006	2012	755
AE5445297	EDGEMOOR PHARMACY	POWELL	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	355500.0	98100.0	2006	2008	783
AU8894342	UT ATHLETIC DEPT PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RE0357271	EMED MEDICAL COMPANY	Emed Medical Company	MARYLAND HEIGHTS	MO	DISTRIBUTOR	5500.0	0.0	2008	2011	32
BF6678479	FOOD CITY PHARMACY #816	BRISTOL	VA		CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	63350.0	0.0	2006	2011	113
FF2380727	FOOD CITY PHARMACY #645	TAZEWELL	TN	47025	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	30300.0	6800.0	2012	2012	83
BL8436784	LOBOS ACQUISTION LLC	KNOXVILLE	TN	47093	RETAIL PHARMACY	RH0334463	OMNICARE DISTRIBUTION CENTER LLC	Omnicare Distribution Center LLC	TOLEDO	OH	DISTRIBUTOR	58880.0	900.0	2006	2006	35
BF7721675	FOOD CITY PHARMACY #653	KINGSTON	TN	47145	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	21900.0	800.0	2010	2011	45
BF6412869	FOOD CITY PHARMACY #688	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	13000.0	2100.0	2012	2012	31
BF8530621	FOOD CITY PHARMACY #860	DAMASCUS	VA	51191	CHAIN PHARMACY	RM0424363	MCKESSON CORPORATION	McKesson Corporation	RUTHER GLEN	VA	DISTRIBUTOR	15200.0	600.0	2012	2012	44
FF0997114	FOOD CITY PHARMACY #680	MAYNARDVILLE	TN	47173	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	5200.0	0.0	2010	2011	15
FF2232673	FOOD CITY PHARMACY #646	MORRISTOWN	TN	47063	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	6900.0	1300.0	2012	2012	20
BF9481944	FOOD CITY PHARMACY #672	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	13100.0	5000.0	2009	2011	15
BF6514992	FOOD CITY PHARMACY #626	ALCOA	TN	47009	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	5500.0	0.0	2006	2006	7
BK5627748	K-VA-T FOOD STORES INC	POWELL	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	47300.0	28800.0	2008	2011	36
BW3937010	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	1420100.0	0.0	2008	2012	3296
BK9019717	PHARMERICA	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	5780000.0	75100.0	2006	2012	6661
BC6284208	TENNESSEE CVS PHARMACY, L.L.C.	POWELL	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	1071260.0	261600.0	2006	2012	2440
AC0401303	REVCO DISCOUNT DRUG CENTERS, INC.	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0205559	CVS TN DISTRIBUTION, LLC	CVS	KNOXVILLE	TN	DISTRIBUTOR	235200.0	0.0	2006	2008	804
BF6689698	FOOD CITY PHARMACY #898	WISE	VA	51195	CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	1455900.0	26400.0	2006	2012	3381
AE5445297	EDGEMOOR PHARMACY	POWELL	TN	47093	RETAIL PHARMACY	RA0287020	ANDA PHARMACEUTICALS INC	Anda, Inc	GROVEPORT	OH	DISTRIBUTOR	270700.0	36900.0	2006	2008	458
BF7663001	FOOD CITY PHARMACY #611	GATLINBURG	TN	47155	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1225400.0	71800.0	2006	2012	3194
BB5874842	BI-LO, #572	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0180733	ANDA, INC	Anda, Inc	WESTON	FL	DISTRIBUTOR	59000.0	9600.0	2006	2006	34
BF8998087	FOOD CITY PHARMACY #670	GRAY	TN	47179	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	32700.0	0.0	2006	2011	111
BF9887211	FOOD CITY PHARMACY #687	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	400400.0	184200.0	2009	2011	409
FP3325277	PUBLIX TENNESSEE, LLC	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	5200.0	0.0	2012	2012	26
AW1583168	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	8430.0	200.0	2006	2012	50
AP7088568	FOUNTAIN CITY PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0180733	ANDA, INC	Anda, Inc	WESTON	FL	DISTRIBUTOR	25300.0	0.0	2008	2012	124
BF8182026	FOOD CITY PHARMACY #895	PENNINGTON GAP	VA	51105	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	52310.0	0.0	2006	2009	80
BF6608698	FOOD CITY PHARMACY #425	SOUTH WILLIAMSON	KY	21195	CHAIN PHARMACY	RM0220688	MCKESSON CORPORATION	McKesson Corporation	WASHINGTON CT HOUSE	OH	DISTRIBUTOR	32000.0	0.0	2012	2012	71
BW5385035	WAL-MART PHARMACY 10-2065	KNOXVILLE (W)	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	48020.0	12300.0	2006	2012	162
AW1583168	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0277752	WALGREEN CO	Walgreen Co	JUPITER	FL	DISTRIBUTOR	15600.0	2300.0	2006	2007	95
