-- S11 AQS: extract every site (20,994 rows) for local time and distance math
AQS_SITE_ID | STATE_CODE | COUNTY_CODE | SITE_NUMBER | LATITUDE | LONGITUDE | LAND_USE | LOCATION_SETTING | SITE_ESTABLISHED_DATE | SITE_CLOSED_DATE | OWNING_AGENCY | LOCAL_SITE_NAME | ADDRESS | CITY_NAME | COUNTY_NAME | STATE_NAME | CBSA_NAME | TRIBE_NAME
01-049-0006 | 01 | 049 | 0006 | 34.525372 | -85.899937 | AGRICULTURAL | RURAL | 1997-01-01 |  | Al Dept Of Env Mgt |  | 25.9 MILES SSW OF WIDOWS CREEK STEAM PPL | Powell | DeKalb | Alabama | Fort Payne, AL | 
01-049-0007 | 01 | 049 | 0007 | 34.495126 | -85.865239 | AGRICULTURAL | RURAL | 1973-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | 27.5 MI SSW OF WIDOWS CREEK STEAM PLANT | Rainsville | DeKalb | Alabama | Fort Payne, AL | 
01-049-0008 | 01 | 049 | 0008 | 34.525125 | -85.899962 | AGRICULTURAL | RURAL | 1973-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | 25.9 MI SSW OF WIDOWS CREEK STEAM PLANT | Powell | DeKalb | Alabama | Fort Payne, AL | 
01-049-0009 | 01 | 049 | 0009 | 34.291783 | -85.958621 | AGRICULTURAL | RURAL | 1997-01-01 |  | Al Dept Of Env Mgt |  | 42.7 MILE S.S W OF WIDOWS CREEK STEAM | Not in a City | DeKalb | Alabama | Fort Payne, AL | 
01-049-1001 | 01 | 049 | 1001 | 34.438067 | -85.726677 | COMMERCIAL | URBAN AND CENTER CITY | 1972-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | 500 GRAND AVE | Fort Payne | DeKalb | Alabama | Fort Payne, AL | 
01-049-1002 | 01 | 049 | 1002 | 34.456199 | -85.707189 | RESIDENTIAL | SUBURBAN | 1977-01-01 | 2002-03-27 | Al Dept Of Env Mgt | FT.PAYNE (CLOSED) | 1500 WILLIAMS AVE. N.E. | Fort Payne | DeKalb | Alabama | Fort Payne, AL | 
01-049-1003 | 01 | 049 | 1003 | 34.288567 | -85.969858 | AGRICULTURAL | RURAL | 1998-12-01 |  | Al Dept Of Env Mgt | CROSSVILLE | 13112 HWY.68 , CROSSVILLE AL. 35962 | Crossville | DeKalb | Alabama | Fort Payne, AL | 
01-049-9991 | 01 | 049 | 9991 | 34.289001 | -85.970065 | AGRICULTURAL | RURAL | 1988-11-17 |  | USEPA - Air Quality Assessment Division | Sand Mountain | Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962 | Crossville | DeKalb | Alabama | Fort Payne, AL | 
01-051-0001 | 01 | 051 | 0001 | 32.498567 | -86.136587 | AGRICULTURAL | RURAL | 1990-03-01 | 2016-06-27 | Al Dept Of Env Mgt | DBT, WETUMPKA | DEWBERRY TRAIL, ELMORE CO., WETUMPKA,  ALABAMA | Wetumpka | Elmore | Alabama | Montgomery, AL | 
01-051-0002 | 01 | 051 | 0002 | 32.583466 | -85.93246 | RESIDENTIAL | SUBURBAN | 1982-03-30 |  | Al Dept Of Env Mgt | MONITOR LOCATED ON GROUNDS OF NATIONAL GUARD ARMORY. | 164 MCNEAL ST., TALLASSEE, AL 36078 | Tallassee | Elmore | Alabama | Montgomery, AL | 
