select FILING_YEAR, FILING_PERIOD, FILING_TYPE, upper(REGISTRANT_NAME) reg, REGISTRANT_ID, upper(CLIENT_NAME) cli, CLIENT_ID, INCOME, EXPENSES, DT_POSTED, FILING_UUID, TERMINATION_DATE,
 count(*) over (partition by FILING_UUID) uuid_dups
from LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS
where upper(CLIENT_NAME) like '%LAS VEGAS SANDS%' and FILING_YEAR >= '2021'
order by FILING_YEAR, reg, FILING_PERIOD, DT_POSTED

[04] 107 rows
FILING_YEAR | FILING_PERIOD | FILING_TYPE | REG | REGISTRANT_ID | CLI | CLIENT_ID | INCOME | EXPENSES | DT_POSTED | FILING_UUID | TERMINATION_DATE | UUID_DUPS
2024 | second_quarter | Q2 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2024-07-17T17:07:32-04:00 | 8bab7d11-c727-41b5-b420-420fa53deffd |  | 1
2024 | third_quarter | Q3 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2024-10-21T14:42:01-04:00 | 03501b8c-72ca-4c31-8b31-6da9f0c8b584 |  | 1
2024 | first_quarter | Q1 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2024-04-22T08:42:29-04:00 | cd987ad4-7d36-4d2d-b0e5-1b5bf6375afb |  | 1
2024 | second_quarter | 2T | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2024-07-22T09:14:34-04:00 | 56b7950e-ab01-42a9-9f5a-76a83830ac41 | 2024-06-30 | 1
2024 | first_quarter | Q1 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2024-04-22T09:46:03-04:00 | 3b9cb3fd-03b0-48f8-99a2-68921166f339 |  | 1
2024 | fourth_quarter | Q4 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2025-01-21T12:42:42-05:00 | 1c88ca21-dd46-4bad-8bcc-35171ab9f4ea |  | 1
2024 | second_quarter | Q2 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2024-07-22T17:41:32-04:00 | c3cf171b-5161-4358-bf75-33cbd427193c |  | 1
2024 | third_quarter | Q3 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2024-10-21T12:55:40-04:00 | 9964401a-cc43-4764-b0c9-fc8cc46122b8 |  | 1
2024 | first_quarter | Q1 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2024-04-18T15:00:31-04:00 | 398a6dc7-8805-4a5d-9091-1401c89a1c98 |  | 1
2024 | fourth_quarter | Q4 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2025-01-20T18:48:51-05:00 | b4e76afd-b577-4baa-83be-7e77f04fdd59 |  | 1
2024 | second_quarter | Q2 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2024-07-09T10:31:16-04:00 | 113376a6-01bf-40b3-9959-76c9a466238f |  | 1
2024 | third_quarter | Q3 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2024-10-14T22:15:49-04:00 | 5bef8d6b-a6c8-4ed4-ba45-1f3790bea8d4 |  | 1
