source,target,tier,key,matched,match_rate
PORTAL_ARC_HARRIS_COUNTY_OP_FE2134F2C8,PORTAL_SOC_TEXAS_OPEN_DATA_F525266F32,GEO,ZIP,48,18.4
PORTAL_ARC_HARRIS_COUNTY_OP_CAF5C156E3,PORTAL_SOC_TEXAS_OPEN_DATA_F525266F32,GEO,ZIP,48,18.4
PORTAL_SOC_TEXAS_OPEN_DATA_EADC02D661,PORTAL_SOC_UTAH_OPEN_DATA_P_6DEEE0BF03,STRONG,NAICS,37,17.3
PORTAL_SOC_COLORADO_INFORMA_DE6C8A6901,PORTAL_SOC_TEXAS_OPEN_DATA_31F82D63F8,STRONG,NAICS,23,17.3
PORTAL_ARC_LA_COUNTY_OPEN_D_D75E8EA051,PORTAL_SOC_UTAH_OPEN_DATA_P_5A037856FE,STRONG,NAICS,21,17.4
PORTAL_SOC_TEXAS_OPEN_DATA_38B5253053,PORTAL_SOC_UTAH_OPEN_DATA_P_37575AD872,STRONG,NAICS,17,17.2
PORTAL_SOC_TEXAS_OPEN_DATA_5A5338F21B,PORTAL_SOC_UTAH_OPEN_DATA_P_2027B55EDA,STRONG,NAICS,17,17.2
PORTAL_SOC_UTAH_OPEN_DATA_P_327D0E821D,PORTAL_SOC_UTAH_OPEN_DATA_P_7B0A7183BD,STRONG,NAICS,17,17.3
PORTAL_SOC_OREGON_OPEN_DATA_DC4AEE7DB0,PORTAL_SOC_UTAH_OPEN_DATA_P_4FE1D49F45,STRONG,NAICS,16,17.4
FED_CMS_HOME_HEALTH,PORTAL_SOC_MARYLAND_OPEN_DA_7CE817C5CE,GEO,ZIP,16,30.2
FED_CMS_HOME_HEALTH,PORTAL_SOC_MARYLAND_OPEN_DA_1B2CC0ADB9,GEO,ZIP,16,30.2
PORTAL_ARC_TUCSON_OPEN_DATA_70CEDCB206,PORTAL_ARC_TUCSON_OPEN_DATA_A0293B412C,GEO,ZIP,16,21.9
PORTAL_ARC_ATLANTA_DATAATLA_93AA493487,PORTAL_ARC_ATLANTA_DATAATLA_E2C03512E7,STRONG,NAICS,5,17.2
PORTAL_ARC_HARRIS_COUNTY_OP_D53D8CC5D8,PORTAL_ARC_TUCSON_OPEN_DATA_1E628CD572,STRONG,NAICS,5,17.2
PORTAL_ARC_OPEN_DATA_DC_F37F5DDC3D,PORTAL_SOC_TEXAS_OPEN_DATA_24C81C0C8A,STRONG,NAICS,5,17.2
PORTAL_ARC_HARRIS_COUNTY_OP_510B4A2AB2,PORTAL_ARC_TUCSON_OPEN_DATA_1E628CD572,STRONG,NAICS,5,17.2
PORTAL_ARC_OPEN_DATA_DC_F37F5DDC3D,PORTAL_SOC_OPEN_DATA_BR_C110D5CF59,STRONG,NAICS,5,17.2
PORTAL_SOC_UTAH_OPEN_DATA_P_A5AE4FD7A4,PORTAL_SOC_UTAH_OPEN_DATA_P_F87FB2BFB7,GEO,ZIP,4,17.4
PORTAL_SOC_UTAH_OPEN_DATA_P_C68BC3F05C,PORTAL_SOC_UTAH_OPEN_DATA_P_F87FB2BFB7,GEO,ZIP,4,17.4
PORTAL_SOC_UTAH_OPEN_DATA_P_F87FB2BFB7,PORTAL_SOC_UTAH_OPEN_DATA_P_FB07CFAF59,GEO,ZIP,4,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,PORTAL_ARC_TUCSON_OPEN_DATA_B77E902275,STRONG,DOCKET,154,17.7
PORTAL_ARC_TUCSON_OPEN_DATA_726A6C58E2,PORTAL_ARC_TUCSON_OPEN_DATA_F9376D5072,STRONG,DOCKET,133,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_726A6C58E2,PORTAL_ARC_TUCSON_OPEN_DATA_CF1942A6CE,STRONG,DOCKET,133,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_726A6C58E2,PORTAL_ARC_TUCSON_OPEN_DATA_97B5E23500,STRONG,DOCKET,133,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,PORTAL_ARC_TUCSON_OPEN_DATA_90CC86DC8C,STRONG,DOCKET,132,17.6
PORTAL_ARC_TUCSON_OPEN_DATA_A937D836B3,PORTAL_ARC_TUCSON_OPEN_DATA_CF1942A6CE,STRONG,DOCKET,130,17.5
PORTAL_ARC_TUCSON_OPEN_DATA_97B5E23500,PORTAL_ARC_TUCSON_OPEN_DATA_A937D836B3,STRONG,DOCKET,130,17.5
PORTAL_ARC_TUCSON_OPEN_DATA_A937D836B3,PORTAL_ARC_TUCSON_OPEN_DATA_F9376D5072,STRONG,DOCKET,130,17.5
PORTAL_ARC_TUCSON_OPEN_DATA_821C8A43B1,PORTAL_ARC_TUCSON_OPEN_DATA_EE2E5DB309,STRONG,DOCKET,128,17.5
PORTAL_ARC_TUCSON_OPEN_DATA_726A6C58E2,PORTAL_ARC_TUCSON_OPEN_DATA_A54A25CA53,STRONG,DOCKET,113,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_69487E016F,PORTAL_ARC_TUCSON_OPEN_DATA_89DF24D316,STRONG,DOCKET,70,17.5
PORTAL_ARC_TUCSON_OPEN_DATA_69487E016F,PORTAL_ARC_TUCSON_OPEN_DATA_7672DB717A,STRONG,DOCKET,70,17.5
PORTAL_SOC_UTAH_OPEN_DATA_P_327D0E821D,PORTAL_SOC_UTAH_OPEN_DATA_P_589CC47A29,GEO,ZIP,49,22.0
PORTAL_SOC_UTAH_OPEN_DATA_P_62BB6C079E,PORTAL_SOC_UTAH_OPEN_DATA_P_D4ACA49A9B,GEO,ZIP,46,18.5
PORTAL_ARC_TUCSON_OPEN_DATA_BADE778B92,PORTAL_ARC_TUCSON_OPEN_DATA_D4FFB81E01,GEO,ZIP,45,21.7
PORTAL_ARC_TUCSON_OPEN_DATA_CDD4037DF8,PORTAL_ARC_TUCSON_OPEN_DATA_D4FFB81E01,STRONG,DOCKET,25,17.4
PORTAL_SOC_TEXAS_OPEN_DATA_38B5253053,PORTAL_SOC_UTAH_OPEN_DATA_P_294FE280EF,STRONG,NAICS,18,17.1
FED_CMS_HCRIS,PORTAL_ARC_HARRIS_COUNTY_OP_CB850CC4B0,GEO,ZIP,13,31.0
PORTAL_ARC_TUCSON_OPEN_DATA_90CC86DC8C,PORTAL_ARC_TUCSON_OPEN_DATA_A0293B412C,STRONG,DOCKET,9,17.3
PORTAL_ARC_TUCSON_OPEN_DATA_A0293B412C,PORTAL_ARC_TUCSON_OPEN_DATA_A54A25CA53,STRONG,DOCKET,9,17.3
PORTAL_ARC_TUCSON_OPEN_DATA_A0293B412C,PORTAL_ARC_TUCSON_OPEN_DATA_F5DCF594AF,STRONG,DOCKET,9,17.3
PORTAL_ARC_TUCSON_OPEN_DATA_726A6C58E2,PORTAL_ARC_TUCSON_OPEN_DATA_A0293B412C,STRONG,DOCKET,9,17.3
PORTAL_ARC_HARRIS_COUNTY_OP_D9A3089ED0,PORTAL_ARC_HARRIS_COUNTY_OP_FA9969D82E,GEO,ZIP,8,20.0
PORTAL_ARC_TUCSON_OPEN_DATA_3A7E0821D1,PORTAL_ARC_TUCSON_OPEN_DATA_5B985CBFB5,STRONG,DOCKET,8,17.4
PORTAL_ARC_HARRIS_COUNTY_OP_86AE12CFC0,PORTAL_ARC_HARRIS_COUNTY_OP_F3D3A3AB57,GEO,ZIP,8,20.0
PORTAL_ARC_TUCSON_OPEN_DATA_3A7E0821D1,PORTAL_ARC_TUCSON_OPEN_DATA_A94D7DFBCF,STRONG,DOCKET,8,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_3A7E0821D1,PORTAL_ARC_TUCSON_OPEN_DATA_BADE778B92,STRONG,DOCKET,8,17.4
PORTAL_ARC_HARRIS_COUNTY_OP_F3D3A3AB57,PORTAL_ARC_HARRIS_COUNTY_OP_FA9969D82E,GEO,ZIP,8,20.0
PORTAL_ARC_HARRIS_COUNTY_OP_86AE12CFC0,PORTAL_ARC_HARRIS_COUNTY_OP_D9A3089ED0,GEO,ZIP,8,20.0
PORTAL_SOC_UTAH_OPEN_DATA_P_A4022A1A2D,PORTAL_SOC_UTAH_OPEN_DATA_P_F1292B8D2F,STRONG,NAICS,6,17.1
PORTAL_ARC_ATLANTA_DATAATLA_93AA493487,PORTAL_ARC_TUCSON_OPEN_DATA_65A6CDEF8F,STRONG,NAICS,6,17.1
PORTAL_SOC_TEXAS_OPEN_DATA_0F8F4663C8,PORTAL_SOC_UTAH_OPEN_DATA_P_A4022A1A2D,STRONG,NAICS,6,17.1
PORTAL_SOC_TEXAS_OPEN_DATA_5410A1009F,PORTAL_SOC_UTAH_OPEN_DATA_P_A4022A1A2D,STRONG,NAICS,6,17.1
PORTAL_ARC_OPEN_DATA_MINNEA_F87FF14B56,PORTAL_SOC_UTAH_OPEN_DATA_P_A4022A1A2D,STRONG,NAICS,6,17.1
PORTAL_SOC_SEATTLE_OPEN_DAT_C8F2072189,PORTAL_SOC_UTAH_OPEN_DATA_P_A4022A1A2D,STRONG,NAICS,6,17.1
PORTAL_ARC_TUCSON_OPEN_DATA_5B985CBFB5,PORTAL_ARC_TUCSON_OPEN_DATA_8AAD75BF85,STRONG,DOCKET,4,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_8AAD75BF85,PORTAL_ARC_TUCSON_OPEN_DATA_C92A89BB0D,STRONG,DOCKET,4,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_8AAD75BF85,PORTAL_ARC_TUCSON_OPEN_DATA_FA71372C44,STRONG,DOCKET,4,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,PORTAL_ARC_TUCSON_OPEN_DATA_8AAD75BF85,STRONG,DOCKET,4,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_8AAD75BF85,PORTAL_ARC_TUCSON_OPEN_DATA_A94D7DFBCF,STRONG,DOCKET,4,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_8AAD75BF85,PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,STRONG,DOCKET,4,17.4
FED_CMS_IRF,PORTAL_ARC_ATLANTA_DATAATLA_C1DA9CD6A0,GEO,ZIP,3,21.4
PORTAL_ARC_HARRIS_COUNTY_OP_87F4853C1A,PORTAL_ARC_HARRIS_COUNTY_OP_FA9969D82E,GEO,ZIP,3,20.0
PORTAL_ARC_HARRIS_COUNTY_OP_86AE12CFC0,PORTAL_ARC_HARRIS_COUNTY_OP_87F4853C1A,GEO,ZIP,3,20.0
FED_CMS_HOME_HEALTH,PORTAL_ARC_TUCSON_OPEN_DATA_65A6CDEF8F,GEO,ZIP,3,30.0
PORTAL_ARC_TUCSON_OPEN_DATA_6A79648A77,PORTAL_ARC_TUCSON_OPEN_DATA_CF1942A6CE,STRONG,DOCKET,129,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,PORTAL_ARC_TUCSON_OPEN_DATA_EE2E5DB309,STRONG,DOCKET,129,17.6
PORTAL_ARC_TUCSON_OPEN_DATA_6A79648A77,PORTAL_ARC_TUCSON_OPEN_DATA_F9376D5072,STRONG,DOCKET,129,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_6A79648A77,PORTAL_ARC_TUCSON_OPEN_DATA_97B5E23500,STRONG,DOCKET,129,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,PORTAL_ARC_TUCSON_OPEN_DATA_EE2E5DB309,STRONG,DOCKET,129,17.6
PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,PORTAL_ARC_TUCSON_OPEN_DATA_EE2E5DB309,STRONG,DOCKET,129,17.6
PORTAL_ARC_TUCSON_OPEN_DATA_4FB5EA68FC,PORTAL_ARC_TUCSON_OPEN_DATA_821C8A43B1,STRONG,DOCKET,107,17.3
FED_FARA_BULK,PORTAL_SOC_MARYLAND_OPEN_DA_BAA13FC4EC,GEO,ZIP,50,22.7
PORTAL_ARC_TUCSON_OPEN_DATA_B77E902275,PORTAL_ARC_TUCSON_OPEN_DATA_E9360F6C40,STRONG,DOCKET,48,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_97B5E23500,PORTAL_ARC_TUCSON_OPEN_DATA_D4FFB81E01,STRONG,DOCKET,25,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_CF1942A6CE,PORTAL_ARC_TUCSON_OPEN_DATA_D4FFB81E01,STRONG,DOCKET,25,17.4
PORTAL_ARC_TUCSON_OPEN_DATA_D4FFB81E01,PORTAL_ARC_TUCSON_OPEN_DATA_F9376D5072,STRONG,DOCKET,25,17.4
PORTAL_SOC_COLORADO_INFORMA_1D5CFAD830,PORTAL_SOC_TEXAS_OPEN_DATA_31F82D63F8,STRONG,NAICS,23,16.9
PORTAL_ARC_ATLANTA_DATAATLA_DE1E9D4350,PORTAL_ARC_KENTUCKY_OPEN_GI_23E8E1668C,STRONG,NAICS,22,17.1
FED_EPA_ECHO,PORTAL_SOC_UTAH_OPEN_DATA_P_DCD75231F6,CORROBORATED,NAME@ZIP,19,31.7
PORTAL_SOC_UTAH_OPEN_DATA_P_0F31165E86,PORTAL_SOC_UTAH_OPEN_DATA_P_A5715666DA,STRONG,NAICS,18,17.0
PORTAL_SOC_TEXAS_OPEN_DATA_A415622C5D,PORTAL_SOC_UTAH_OPEN_DATA_P_F326BAD0FC,STRONG,NAICS,17,17.0
PORTAL_SOC_UTAH_OPEN_DATA_P_0F31165E86,PORTAL_SOC_UTAH_OPEN_DATA_P_F326BAD0FC,STRONG,NAICS,17,17.0
PORTAL_SOC_UTAH_OPEN_DATA_P_598E83DA4D,PORTAL_SOC_UTAH_OPEN_DATA_P_5A037856FE,STRONG,NAICS,16,17.0
PORTAL_SOC_OPEN_DATA_BR_C110D5CF59,PORTAL_SOC_TEXAS_OPEN_DATA_EADC02D661,STRONG,NAICS,11,16.9
PORTAL_ARC_TUCSON_OPEN_DATA_6E966EDC1B,PORTAL_ARC_TUCSON_OPEN_DATA_B64E31A541,GEO,ZIP,11,18.0
PORTAL_SOC_CHICAGO_DATA_POR_1CA267A903,PORTAL_SOC_UTAH_OPEN_DATA_P_F259CD7FC8,STRONG,SIC,8,25.0
